cell_line,case_label,exposure_seconds,exposure_minutes,time_h,mean_signal,sd_signal,target_viability_pct,target_sd_pct,include_in_first_bar_chart
EGI1,0s,0.0,0.0,0.0,0.17604375000000003,0.05561023364397503,99.99999999999999,31.58887131407677,yes
EGI1,0s,0.0,0.0,24.0,0.3493125,0.14063205260092723,198.4236872936415,79.88471763463752,yes
EGI1,0s,0.0,0.0,48.0,0.7906374999999999,0.2857567220884756,449.114211666134,162.32142412807926,yes
EGI1,0s,0.0,0.0,72.0,1.6822083325,0.44174470451153974,955.5626555898746,250.92893358130559,yes
EGI1,15s,15.0,0.25,0.0,0.17604375000000003,0.05561023364397503,99.99999999999999,31.58887131407677,no
EGI1,15s,15.0,0.25,24.0,0.3076625,0.0892317444564993,174.7647956828913,50.68725499002338,no
EGI1,15s,15.0,0.25,48.0,0.719425,0.24519826161700267,408.6626193772854,139.2825713023056,no
EGI1,15s,15.0,0.25,72.0,1.574820007,0.2831996597729606,894.5617251393475,160.86890887802636,no
EGI1,30s,30.0,0.5,0.0,0.17604375000000003,0.05561023364397503,99.99999999999999,31.58887131407677,yes
EGI1,30s,30.0,0.5,24.0,0.33648749999999994,0.13099427647324913,191.13856640749808,74.4100693567645,yes
EGI1,30s,30.0,0.5,48.0,0.6942625,0.23461934696173306,394.3692974047644,133.27331811650967,yes
EGI1,30s,30.0,0.5,72.0,1.261125,0.23904397878703013,716.3702204707636,135.7866886992751,yes
EGI1,1min,60.0,1.0,0.0,0.17604375000000003,0.05561023364397503,99.99999999999999,31.58887131407677,no
EGI1,1min,60.0,1.0,24.0,0.31172500000000003,0.12363085173208173,177.0724606809387,70.2273450389927,no
EGI1,1min,60.0,1.0,48.0,0.6146125000000001,0.2431810137916813,349.12486242766363,138.13669260719638,no
EGI1,1min,60.0,1.0,72.0,1.0394571442857143,0.23375741818289097,590.4538754063772,132.7837075629728,no
EGI1,2min,120.0,2.0,0.0,0.17604375000000003,0.05561023364397503,99.99999999999999,31.58887131407677,yes
EGI1,2min,120.0,2.0,24.0,0.3493125,0.14063205260092723,198.4236872936415,79.88471763463752,yes
EGI1,2min,120.0,2.0,48.0,0.7906374999999999,0.2857567220884756,449.114211666134,162.32142412807926,yes
EGI1,2min,120.0,2.0,72.0,1.6822083325,0.44174470451153974,955.5626555898746,250.92893358130559,yes
