parameter_id,abm_key,type,default,lower_bound,upper_bound,fit_stage,scope,suggest_distribution,notes
baseline_apoptosis_probability,cancer_cell/can_apoptose/probability,float,0.0029217516,0.0001,0.25,control_baseline,cell_line,linear,Calibrate on 0 s control before treatment cases.
baseline_growth_probability,cancer_cell/can_grow/probability,float,0.52025049,0.01,0.99,control_baseline,cell_line,linear,Baseline growth probability.
baseline_growth_diameter_rate,cancer_cell/can_grow/diameter_rate,float,0.4556126,0.05,1.5,control_baseline,cell_line,linear,Growth rate; not a probability.
baseline_division_probability,cancer_cell/can_divide/probability,float,0.84592981,0.30,0.99,control_baseline,cell_line,linear,Baseline division probability.
baseline_division_time_window,cancer_cell/can_divide/time_window,int,319,50,500,control_baseline,cell_line,int,Discrete ABM time-window parameter.
direct_bar_apoptosis_probability,cancer_cell/can_apoptose/probability,float,0.0029217516,0.0001,0.25,direct_bar_fit,cell_line_case,linear,Use this if reproducing the professor-style bar chart directly.
direct_bar_growth_probability,cancer_cell/can_grow/probability,float,0.52025049,0.01,0.99,direct_bar_fit,cell_line_case,linear,Use this if reproducing the professor-style bar chart directly.
direct_bar_division_probability,cancer_cell/can_divide/probability,float,0.84592981,0.01,0.99,direct_bar_fit,cell_line_case,linear,Use this if reproducing the professor-style bar chart directly.
cap_h2o2_concentration,CAP/H2O2/concentration,float,0.7,0.0,1.0,mechanistic_cap_fit,global_or_cell_line,linear,Constrain H2O2 + NO2_ <= 1 or use normalized mixture parameters.
cap_no2_concentration,CAP/NO2_/concentration,float,0.3,0.0,1.0,mechanistic_cap_fit,global_or_cell_line,linear,Constrain H2O2 + NO2_ <= 1 or use normalized mixture parameters.
uptake_h2o2,cancer_cell/intracellular/uptake/H2O2,float,0.8,0.0,3.0,mechanistic_cap_fit,cell_line,linear,Cell-line-specific RONS uptake sensitivity.
uptake_no2,cancer_cell/intracellular/uptake/NO2_,float,0.25,0.0,3.0,mechanistic_cap_fit,cell_line,linear,Cell-line-specific RNS uptake sensitivity.
antioxidant_capacity,cancer_cell/intracellular/antioxidant/capacity,float,0.002,1e-5,1e-1,mechanistic_cap_fit,cell_line,log,Effective antioxidant buffering capacity.
antioxidant_k_scavenge,cancer_cell/intracellular/antioxidant/k_scavenge,float,0.03,1e-4,1.0,mechanistic_cap_fit,cell_line,log,Effective ROS scavenging coefficient.
alpha_h2o2,cancer_cell/intracellular/alpha/H2O2,float,1.5,0.01,5.0,mechanistic_cap_fit,global_or_cell_line,log,ROS weighting for H2O2 contribution.
alpha_no2,cancer_cell/intracellular/alpha/NO2_,float,0.15,0.001,2.0,mechanistic_cap_fit,global_or_cell_line,log,ROS/RNS weighting for NO2 contribution.
damage_k_induction,cancer_cell/intracellular/damage/k_induction,float,0.2,1e-4,2.0,mechanistic_cap_fit,cell_line,log,Damage induction from intracellular stress.
damage_k_repair,cancer_cell/intracellular/damage/k_repair,float,0.005,1e-5,0.5,mechanistic_cap_fit,cell_line,log,Effective DNA damage repair.
damage_threshold,cancer_cell/intracellular/damage/threshold,float,0.4,0.05,2.0,mechanistic_cap_fit,cell_line,linear,Damage threshold for apoptosis/fate change.
damage_division_block,cancer_cell/intracellular/damage/division_block,float,0.2,0.01,1.5,mechanistic_cap_fit,cell_line,linear,Damage threshold above which division is blocked.
damage_growth_block,cancer_cell/intracellular/damage/growth_block,float,0.3,0.01,1.5,mechanistic_cap_fit,cell_line,linear,Damage threshold above which growth is blocked.
damage_apoptosis_probability,cancer_cell/intracellular/damage/probability,float,0.75,0.01,0.99,mechanistic_cap_fit,cell_line,linear,Probability of death after exceeding damage threshold.
cap_division_sensitivity,cancer_cell/can_divide/CAP_sensitivity,float,0.0,-1.0,1.0,mechanistic_cap_fit,cell_line,linear,Effective CAP modulation of division; keep disabled unless implemented/tested.
cap_saturation_time,cancer_cell/can_divide/CAP_saturation_time,float,60.0,5.0,300.0,mechanistic_cap_fit,global,log,Saturation time in seconds if CAP_sensitivity is used.
