current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cells_pheno_1_G0, N_cell_protrusions
0,0,100,9.92912e-05,0,100,0,100,0,0,0,0,0,0
0.01,0,100,9.92923e-05,0,100,0,100,0,0,0,0,0,0
0.02,0,100,9.92933e-05,0,100,0,100,0,0,0,0,0,0
0.03,0,100,9.92944e-05,0,100,0,100,0,0,0,0,0,0
0.04,0,100,9.92954e-05,0,100,0,100,0,0,0,0,0,0
0.05,0,100,9.92965e-05,0,100,0,100,0,0,0,0,0,0
0.06,0,100,9.92975e-05,0,100,0,100,0,0,0,0,0,0
0.07,0,100,9.92986e-05,0,100,0,100,0,0,0,0,0,0
0.08,0,100,9.92996e-05,0,100,0,100,0,0,0,0,0,0
0.09,0,100,9.93007e-05,0,100,0,100,0,0,0,0,0,0
0.1,0,100,9.93017e-05,0,100,0,100,0,0,0,0,0,0
0.11,0,100,9.93028e-05,0,100,0,100,0,0,0,0,0,0
0.12,0,100,9.93038e-05,0,100,0,100,0,0,0,0,0,0
0.13,0,100,9.93049e-05,0,100,0,100,0,0,0,0,0,0
0.14,0,100,9.93059e-05,0,100,0,100,0,0,0,0,0,0
0.15,0,100,9.9307e-05,0,100,0,100,0,0,0,0,0,0
0.16,0,100,9.9308e-05,0,100,0,100,0,0,0,0,0,0
0.17,0,100,9.93091e-05,0,100,0,100,0,0,0,0,0,0
0.18,0,100,9.93101e-05,0,100,0,100,0,0,0,0,0,0
0.19,0,100,9.93112e-05,0,100,0,100,0,0,0,0,0,0
0.2,0,100,9.93122e-05,0,100,0,100,0,0,0,0,0,0
0.21,0,100,9.93133e-05,0,100,0,100,0,0,0,0,0,0
0.22,0,100,9.93143e-05,0,100,0,100,0,0,0,0,0,0
0.23,0,100,9.93154e-05,0,100,0,100,0,0,0,0,0,0
0.24,0,100,9.93164e-05,0,100,0,100,0,0,0,0,0,0
0.25,0,100,9.93175e-05,0,100,0,100,0,0,0,0,0,0
0.26,0,100,9.93185e-05,0,100,0,100,0,0,0,0,0,0
0.27,0,100,9.93196e-05,0,100,0,100,0,0,0,0,0,0
0.28,0,100,9.93206e-05,0,100,0,100,0,0,0,0,0,0
0.29,0,100,9.93217e-05,0,100,0,100,0,0,0,0,0,0
0.3,0,100,9.93227e-05,0,100,0,100,0,0,0,0,0,0
0.31,0,100,9.93238e-05,0,100,0,100,0,0,0,0,0,0
0.32,0,100,9.93248e-05,0,100,0,100,0,0,0,0,0,0
0.33,0,100,9.93259e-05,0,100,0,100,0,0,0,0,0,0
0.34,0,100,9.93269e-05,0,100,0,100,0,0,0,0,0,0
0.35,0,100,9.9328e-05,0,100,0,100,0,0,0,0,0,0
0.36,0,100,9.9329e-05,0,100,0,100,0,0,0,0,0,0
0.37,0,100,9.93301e-05,0,100,0,100,0,0,0,0,0,0
0.38,0,100,9.93311e-05,0,100,0,100,0,0,0,0,0,0
0.39,0,100,9.93322e-05,0,100,0,100,0,0,0,0,0,0
0.4,0,100,9.93332e-05,0,100,0,100,0,0,0,0,0,0
0.41,0,100,9.93343e-05,0,100,0,100,0,0,0,0,0,0
0.42,0,100,9.93353e-05,0,100,0,100,0,0,0,0,0,0
0.43,0,100,9.93364e-05,0,100,0,100,0,0,0,0,0,0
0.44,0,100,9.93374e-05,0,100,0,100,0,0,0,0,0,0
0.45,0,100,9.93385e-05,0,100,0,100,0,0,0,0,0,0
0.46,0,100,9.93395e-05,0,100,0,100,0,0,0,0,0,0
0.47,0,100,9.93406e-05,0,100,0,100,0,0,0,0,0,0
0.48,0,100,9.93416e-05,0,100,0,100,0,0,0,0,0,0
0.49,0,100,9.93427e-05,0,100,0,100,0,0,0,0,0,0
0.5,0,100,9.93437e-05,0,100,0,100,0,0,0,0,0,0
0.51,0,100,9.93448e-05,0,100,0,100,0,0,0,0,0,0
0.52,0,100,9.93458e-05,0,100,0,100,0,0,0,0,0,0
0.53,0,100,9.93469e-05,0,100,0,100,0,0,0,0,0,0
0.54,0,100,9.93479e-05,0,100,0,100,0,0,0,0,0,0
0.55,0,100,9.93489e-05,0,100,0,100,0,0,0,0,0,0
0.56,0,100,9.935e-05,0,100,0,100,0,0,0,0,0,0
0.57,0,100,9.9351e-05,0,100,0,100,0,0,0,0,0,0
0.58,0,100,9.93521e-05,0,100,0,100,0,0,0,0,0,0
0.59,0,100,9.93531e-05,0,100,0,100,0,0,0,0,0,0
0.6,0,100,9.93542e-05,0,100,0,100,0,0,0,0,0,0
0.61,0,100,9.93552e-05,0,100,0,100,0,0,0,0,0,0
0.62,0,100,9.93563e-05,0,100,0,100,0,0,0,0,0,0
0.63,0,100,9.93573e-05,0,100,0,100,0,0,0,0,0,0
0.64,0,100,9.93584e-05,0,100,0,100,0,0,0,0,0,0
0.65,0,100,9.93594e-05,0,100,0,100,0,0,0,0,0,0
0.66,0,100,9.93605e-05,0,100,0,100,0,0,0,0,0,0
0.67,0,100,9.93615e-05,0,100,0,100,0,0,0,0,0,0
0.68,0,100,9.93626e-05,0,100,0,100,0,0,0,0,0,0
0.69,0,100,9.93636e-05,0,100,0,100,0,0,0,0,0,0
0.7,0,100,9.93647e-05,0,100,0,100,0,0,0,0,0,0
0.71,0,100,9.93657e-05,0,100,0,100,0,0,0,0,0,0
0.72,0,100,9.93668e-05,0,100,0,100,0,0,0,0,0,0
0.73,0,100,9.93678e-05,0,100,0,100,0,0,0,0,0,0
0.74,0,100,9.93689e-05,0,100,0,100,0,0,0,0,0,0
0.75,0,100,9.93699e-05,0,100,0,100,0,0,0,0,0,0
0.76,0,100,9.9371e-05,0,100,0,100,0,0,0,0,0,0
0.77,0,100,9.9372e-05,0,100,0,100,0,0,0,0,0,0
0.78,0,100,9.93731e-05,0,100,0,100,0,0,0,0,0,0
0.79,0,100,9.93741e-05,0,100,0,100,0,0,0,0,0,0
0.8,0,100,9.93752e-05,0,100,0,100,0,0,0,0,0,0
0.81,0,100,9.93762e-05,0,100,0,100,0,0,0,0,0,0
0.82,0,100,9.93773e-05,0,100,0,100,0,0,0,0,0,0
0.83,0,100,9.93783e-05,0,100,0,100,0,0,0,0,0,0
0.84,0,100,9.93794e-05,0,100,0,100,0,0,0,0,0,0
0.85,0,100,9.93804e-05,0,100,0,100,0,0,0,0,0,0
0.86,0,100,9.93815e-05,0,100,0,100,0,0,0,0,0,0
0.87,0,100,9.93825e-05,0,100,0,100,0,0,0,0,0,0
0.88,0,100,9.93836e-05,0,100,0,100,0,0,0,0,0,0
0.89,0,100,9.93846e-05,0,100,0,100,0,0,0,0,0,0
0.9,0,100,9.93857e-05,0,100,0,100,0,0,0,0,0,0
0.91,0,100,9.93867e-05,0,100,0,100,0,0,0,0,0,0
0.92,0,100,9.93877e-05,0,100,0,100,0,0,0,0,0,0
0.93,0,100,9.93888e-05,0,100,0,100,0,0,0,0,0,0
0.94,0,100,9.93898e-05,0,100,0,100,0,0,0,0,0,0
0.95,0,100,9.93909e-05,0,100,0,100,0,0,0,0,0,0
0.96,0,100,9.93919e-05,0,100,0,100,0,0,0,0,0,0
0.97,0,100,9.9393e-05,0,100,0,100,0,0,0,0,0,0
0.98,0,100,9.9394e-05,0,100,0,100,0,0,0,0,0,0
0.99,0,100,9.93951e-05,0,100,0,100,0,0,0,0,0,0
1,0,100,9.93961e-05,0,100,0,100,0,0,0,0,0,0
1.01,0,100,9.93972e-05,0,100,0,100,0,0,0,0,0,0
1.02,0,100,9.93982e-05,0,100,0,100,0,0,0,0,0,0
1.03,0,100,9.93993e-05,0,100,0,100,0,0,0,0,0,0
1.04,0,100,9.94003e-05,0,100,0,100,0,0,0,0,0,0
1.05,0,100,9.94014e-05,0,100,0,100,0,0,0,0,0,0
1.06,0,100,9.94024e-05,0,100,0,100,0,0,0,0,0,0
1.07,0,100,9.94035e-05,0,100,0,100,0,0,0,0,0,0
1.08,0,100,9.94045e-05,0,100,0,100,0,0,0,0,0,0
1.09,0,100,9.94056e-05,0,100,0,100,0,0,0,0,0,0
1.1,0,100,9.94066e-05,0,100,0,100,0,0,0,0,0,0
1.11,0,100,9.94077e-05,0,100,0,100,0,0,0,0,0,0
