current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,300,0,300,0,300,0,0,0,0,0
0.1,0,300,0,300,0,57,243,0,0,0,0
0.2,0,300,0,300,0,51,249,0,0,0,0
0.3,0,300,0,300,0,65,235,0,0,0,0
0.4,0,300,0,300,0,67,233,0,0,0,0
0.5,0,300,0,300,0,57,243,0,0,0,0
0.6,0,300,0,300,0,60,240,0,0,0,0
0.7,0,300,0,300,0,58,242,0,0,0,0
0.8,0,300,0,300,0,63,237,0,0,0,0
0.9,0,300,0,300,0,53,247,0,0,0,0
1,0,300,0,300,0,62,238,0,0,0,0
1.1,0,300,0,300,0,71,229,0,0,0,0
1.2,0,300,0,300,0,55,245,0,0,0,0
1.3,0,300,0,300,0,61,239,0,0,0,0
1.4,0,300,0,300,0,54,246,0,0,0,0
1.5,0,300,0,300,0,50,250,0,0,0,0
1.6,0,300,0,300,0,56,244,0,0,0,0
1.7,0,300,0,300,0,64,236,0,0,0,0
1.8,0,300,0,300,0,57,243,0,0,0,0
1.9,0,300,0,300,0,55,245,0,0,0,0
2,0,300,0,300,0,58,242,0,0,0,0
2.1,0,300,0,300,0,68,232,0,0,0,0
2.2,0,300,0,300,0,67,233,0,0,0,0
2.3,0,300,0,300,0,50,250,0,0,0,0
2.4,0,300,0,300,0,51,249,0,0,0,0
2.5,0,300,0,300,0,54,246,0,0,0,0
2.6,0,300,0,300,0,53,247,0,0,0,0
2.7,0,300,0,300,0,53,247,0,0,0,0
2.8,0,300,0,300,0,58,242,0,0,0,0
2.9,0,300,0,300,0,61,239,0,0,0,0
3,0,300,0,300,0,57,243,0,0,0,0
3.1,0,300,0,300,0,49,251,0,0,0,0
3.2,0,300,0,300,0,60,240,0,0,0,0
3.3,0,300,0,300,0,42,258,0,0,0,0
3.4,0,300,0,300,0,62,238,0,0,0,0
3.5,0,300,0,300,0,59,241,0,0,0,0
3.6,0,300,0,300,0,52,248,0,0,0,0
3.7,0,300,0,300,0,54,246,0,0,0,0
3.8,0,300,0,300,0,69,231,0,0,0,0
3.9,0,300,0,300,0,52,248,0,0,0,0
4,0,300,0,300,0,45,255,0,0,0,0
4.1,0,300,0,300,0,55,245,0,0,0,0
4.2,0,300,0,300,0,59,241,0,0,0,0
4.3,0,300,0,300,0,57,243,0,0,0,0
4.4,0,300,0,300,0,52,248,0,0,0,0
4.5,0,300,0,300,0,67,233,0,0,0,0
4.6,0,300,0,300,0,49,251,0,0,0,0
4.7,0,300,0,300,0,54,246,0,0,0,0
4.8,0,300,0,300,0,56,244,0,0,0,0
4.9,0,308,0,308,0,59,241,0,8,0,0
5,0,313,0,313,0,52,256,0,5,0,0
5.1,0,316,0,316,0,67,246,0,3,0,0
5.2,0,320,0,320,0,72,244,0,4,0,0
5.3,0,327,0,327,0,62,258,0,7,0,0
5.4,0,333,0,333,0,58,269,0,6,0,0
5.5,0,337,0,337,0,66,267,0,4,0,0
5.6,0,339,0,339,0,60,277,0,2,0,0
5.7,0,341,0,341,0,74,265,0,2,0,0
5.8,0,342,0,342,0,61,280,0,1,0,0
5.9,0,343,0,343,0,70,272,0,1,0,0
6,0,343,0,343,0,77,266,0,0,0,0
6.1,0,344,0,344,0,62,281,0,1,0,0
6.2,0,345,0,345,0,70,274,0,1,0,0
6.3,0,345,0,345,0,72,273,0,0,0,0
6.4,0,347,0,347,0,66,279,0,2,0,0
6.5,0,347,0,347,0,69,278,0,0,0,0
6.6,0,347,0,347,0,76,271,0,0,0,0
6.7,0,348,0,348,0,75,272,0,1,0,0
6.8,0,349,0,349,0,63,285,0,1,0,0
6.9,0,349,0,349,0,76,273,0,0,0,0
7,0,350,0,350,0,68,281,0,1,0,0
7.1,0,350,0,350,0,57,293,0,0,0,0
7.2,0,350,0,350,0,74,276,0,0,0,0
7.3,0,351,0,351,0,83,267,0,1,0,0
7.4,0,353,0,353,0,81,270,0,2,0,0
7.5,0,354,0,354,0,60,293,0,1,0,0
7.6,0,355,0,355,0,87,267,0,1,0,0
7.7,0,355,0,355,0,71,284,0,0,0,0
7.8,0,356,0,356,0,67,288,0,1,0,0
7.9,0,358,0,358,0,67,289,0,2,0,0
8,0,358,0,358,0,69,289,0,0,0,0
8.1,0,359,0,359,0,76,282,0,1,0,0
8.2,0,359,0,359,0,68,291,0,0,0,0
8.3,0,359,0,359,0,67,292,0,0,0,0
8.4,0,359,0,359,0,67,292,0,0,0,0
8.5,0,362,0,362,0,64,295,0,3,0,0
8.6,0,362,0,362,0,63,299,0,0,0,0
8.7,0,363,0,363,0,76,286,0,1,0,0
8.8,0,364,0,364,0,74,289,0,1,0,0
8.9,0,366,0,366,0,70,294,0,2,0,0
9,0,366,0,366,0,74,292,0,0,0,0
9.1,0,366,0,366,0,71,295,0,0,0,0
9.2,0,367,0,367,0,96,270,0,1,0,0
9.3,0,367,0,367,0,78,289,0,0,0,0
9.4,0,369,0,369,0,61,306,0,2,0,0
9.5,0,369,0,369,0,70,299,0,0,0,0
9.6,0,370,0,370,0,78,291,0,1,0,0
9.7,0,372,0,372,0,72,298,0,2,0,0
9.8,0,372,0,372,0,78,294,0,0,0,0
9.9,0,373,0,373,0,63,309,0,1,0,0
10,0,373,0,373,0,68,305,0,0,0,0
10.1,0,373,0,373,0,68,305,0,0,0,0
10.2,0,373,0,373,0,80,293,0,0,0,0
10.3,0,373,0,373,0,76,297,0,0,0,0
10.4,0,373,0,373,0,87,286,0,0,0,0
10.5,0,374,0,374,0,73,300,0,1,0,0
10.6,0,375,0,375,0,72,302,0,1,0,0
10.7,0,375,0,375,0,68,307,0,0,0,0
10.8,0,376,0,376,0,72,303,0,1,0,0
10.9,0,376,0,376,0,78,298,0,0,0,0
11,0,376,0,376,0,62,314,0,0,0,0
11.1,0,377,0,377,0,76,300,0,1,0,0
11.2,0,377,0,377,0,73,304,0,0,0,0
11.3,0,379,0,379,0,77,300,0,2,0,0
11.4,0,380,0,380,0,80,299,0,1,0,0
11.5,0,380,0,380,0,72,308,0,0,0,0
11.6,0,383,0,383,0,75,305,0,3,0,0
11.7,0,383,0,383,0,66,317,0,0,0,0
11.8,0,384,0,384,0,85,298,0,1,0,0
11.9,0,385,0,385,0,78,306,0,1,0,0
12,0,385,0,385,0,78,307,0,0,0,0
12.1,0,387,0,387,0,91,294,0,2,0,0
12.2,0,388,0,388,0,76,311,0,1,0,0
12.3,0,390,0,390,0,68,320,0,2,0,0
12.4,0,391,0,391,0,67,323,0,1,0,0
12.5,0,391,0,391,0,66,325,0,0,0,0
12.6,0,391,0,391,0,74,317,0,0,0,0
12.7,0,391,0,391,0,81,310,0,0,0,0
12.8,0,392,0,392,0,80,311,0,1,0,0
12.9,0,392,0,392,0,82,310,0,0,0,0
13,0,393,0,393,0,87,305,0,1,0,0
13.1,0,393,0,393,0,91,302,0,0,0,0
13.2,0,394,0,394,0,78,315,0,1,0,0
13.3,0,394,0,394,0,83,311,0,0,0,0
13.4,0,394,0,394,0,83,311,0,0,0,0
13.5,0,395,0,395,0,91,303,0,1,0,0
13.6,0,395,0,395,0,75,320,0,0,0,0
13.7,0,395,0,395,0,87,308,0,0,0,0
13.8,0,397,0,397,0,77,318,0,2,0,0
13.9,0,397,0,397,0,81,316,0,0,0,0
14,0,400,0,400,0,89,308,0,3,0,0
14.1,0,401,0,401,0,83,317,0,1,0,0
14.2,0,401,0,401,0,79,322,0,0,0,0
14.3,0,402,0,402,0,76,325,0,1,0,0
14.4,0,403,0,403,0,92,310,0,1,0,0
14.5,0,403,0,403,0,102,301,0,0,0,0
14.6,0,404,0,404,0,78,325,0,1,0,0
14.7,0,404,0,404,0,64,340,0,0,0,0
14.8,0,406,0,406,0,90,314,0,2,0,0
14.9,0,406,0,406,0,93,313,0,0,0,0
15,0,407,0,407,0,85,321,0,1,0,0
15.1,0,407,0,407,0,88,319,0,0,0,0
15.2,0,408,0,408,0,76,331,0,1,0,0
15.3,0,408,0,408,0,72,336,0,0,0,0
15.4,0,410,0,410,0,80,328,0,2,0,0
15.5,0,410,0,410,0,80,330,0,0,0,0
15.6,0,411,0,411,0,93,317,0,1,0,0
15.7,0,411,0,411,0,63,348,0,0,0,0
15.8,0,411,0,411,0,79,332,0,0,0,0
15.9,0,412,0,412,0,82,329,0,1,0,0
16,0,412,0,412,0,87,325,0,0,0,0
16.1,0,413,0,413,0,87,325,0,1,0,0
16.2,0,414,0,414,0,85,328,0,1,0,0
16.3,0,416,0,416,0,83,331,0,2,0,0
16.4,0,416,0,416,0,81,335,0,0,0,0
16.5,0,416,0,416,0,85,331,0,0,0,0
16.6,0,417,0,417,0,91,325,0,1,0,0
16.7,0,417,0,417,0,79,338,0,0,0,0
16.8,0,419,0,419,0,94,323,0,2,0,0
16.9,0,419,0,419,0,83,336,0,0,0,0
17,0,419,0,419,0,79,340,0,0,0,0
17.1,0,422,0,422,0,88,331,0,3,0,0
17.2,0,424,0,424,0,86,336,0,2,0,0
17.3,0,425,0,425,0,74,350,0,1,0,0
17.4,0,425,0,425,0,76,349,0,0,0,0
17.5,0,426,0,426,0,89,336,0,1,0,0
17.6,0,426,0,426,0,101,325,0,0,0,0
17.7,0,428,0,428,0,94,332,0,2,0,0
17.8,0,430,0,430,0,95,333,0,2,0,0
17.9,0,431,0,431,0,87,343,0,1,0,0
18,0,431,0,431,0,78,353,0,0,0,0
18.1,0,432,0,432,0,92,339,0,1,0,0
18.2,0,433,0,433,0,78,354,0,1,0,0
18.3,0,433,0,433,0,108,325,0,0,0,0
18.4,0,434,0,434,0,94,339,0,1,0,0
18.5,0,436,0,436,0,86,348,0,2,0,0
18.6,0,437,0,437,0,88,348,0,1,0,0
18.7,0,438,0,438,0,76,361,0,1,0,0
18.8,0,439,0,439,0,89,349,0,1,0,0
18.9,0,440,0,440,0,89,350,0,1,0,0
19,0,442,0,442,0,100,340,0,2,0,0
19.1,0,442,0,442,0,94,348,0,0,0,0
19.2,0,443,0,443,0,90,352,0,1,0,0
19.3,0,443,0,443,0,90,353,0,0,0,0
19.4,0,444,0,444,0,97,346,0,1,0,0
19.5,0,444,0,444,0,86,358,0,0,0,0
19.6,0,445,0,445,0,92,352,0,1,0,0
19.7,0,445,0,445,0,84,361,0,0,0,0
19.8,0,445,0,445,0,86,359,0,0,0,0
19.9,0,445,0,445,0,94,351,0,0,0,0
20,0,446,0,446,0,79,366,0,1,0,0
20.1,0,449,0,449,0,92,354,0,3,0,0
20.2,0,451,0,451,0,100,349,0,2,0,0
20.3,0,453,0,453,0,96,355,0,2,0,0
20.4,0,453,0,453,0,106,347,0,0,0,0
20.5,0,454,0,454,0,100,353,0,1,0,0
20.6,0,455,0,455,0,92,362,0,1,0,0
20.7,0,459,0,459,0,104,351,0,4,0,0
20.8,0,460,0,460,0,107,352,0,1,0,0
20.9,0,461,0,461,0,94,366,0,1,0,0
21,0,462,0,462,0,109,352,0,1,0,0
21.1,0,464,0,464,0,115,347,0,2,0,0
21.2,0,465,0,465,0,87,377,0,1,0,0
21.3,0,466,0,466,0,107,358,0,1,0,0
21.4,0,466,0,466,0,96,370,0,0,0,0
21.5,0,468,0,468,0,102,364,0,2,0,0
21.6,0,469,0,469,0,102,366,0,1,0,0
21.7,0,470,0,470,0,90,379,0,1,0,0
21.8,0,471,0,471,0,98,372,0,1,0,0
21.9,0,472,0,472,0,95,376,0,1,0,0
22,0,474,0,474,0,104,368,0,2,0,0
22.1,0,475,0,475,0,89,385,0,1,0,0
22.2,0,480,0,480,0,97,378,0,5,0,0
22.3,0,481,0,481,0,106,374,0,1,0,0
22.4,0,481,0,481,0,93,388,0,0,0,0
22.5,0,481,0,481,0,93,388,0,0,0,0
22.6,0,485,0,485,0,96,385,0,4,0,0
22.7,0,487,0,487,0,107,378,0,2,0,0
22.8,0,492,0,492,0,109,378,0,5,0,0
22.9,0,492,0,492,0,95,397,0,0,0,0
23,0,492,0,492,0,118,374,0,0,0,0
23.1,0,494,0,494,0,98,394,0,2,0,0
23.2,0,494,0,494,0,89,405,0,0,0,0
23.3,0,496,0,496,0,105,389,0,2,0,0
23.4,0,498,0,498,0,91,405,0,2,0,0
23.5,0,498,0,498,0,102,396,0,0,0,0
23.6,0,501,0,501,0,99,399,0,3,0,0
23.7,0,501,0,501,0,90,411,0,0,0,0
23.8,0,504,0,504,0,113,388,0,3,0,0
23.9,0,508,0,508,0,104,400,0,4,0,0
24,0,511,0,511,0,120,388,0,3,0,0
24.1,0,512,0,512,0,112,399,0,1,0,0
24.2,0,514,0,514,0,95,417,0,2,0,0
24.3,0,514,0,514,0,105,409,0,0,0,0
24.4,0,518,0,518,0,103,411,0,4,0,0
24.5,0,522,0,522,0,112,406,0,4,0,0
24.6,0,524,0,524,0,96,426,0,2,0,0
24.7,0,528,0,528,0,113,411,0,4,0,0
24.8,0,530,0,530,0,104,424,0,2,0,0
24.9,0,535,0,535,0,100,430,0,5,0,0
25,0,536,0,536,0,100,435,0,1,0,0
25.1,0,538,0,538,0,98,438,0,2,0,0
25.2,0,540,0,540,0,101,437,0,2,0,0
25.3,0,543,0,543,0,123,417,0,3,0,0
25.4,0,548,0,548,0,106,437,0,5,0,0
25.5,0,550,0,550,0,95,453,0,2,0,0
25.6,0,551,0,551,0,112,438,0,1,0,0
25.7,0,555,0,555,0,111,440,0,4,0,0
25.8,0,556,0,556,0,128,427,0,1,0,0
25.9,0,557,0,557,0,113,443,0,1,0,0
26,0,557,0,557,0,103,454,0,0,0,0
26.1,0,557,0,557,0,116,441,0,0,0,0
26.2,0,559,0,559,0,120,437,0,2,0,0
26.3,0,559,0,559,0,114,445,0,0,0,0
26.4,0,559,0,559,0,114,445,0,0,0,0
26.5,0,561,0,561,0,117,442,0,2,0,0
26.6,0,561,0,561,0,96,465,0,0,0,0
26.7,0,563,0,563,0,102,459,0,2,0,0
26.8,0,563,0,563,0,107,456,0,0,0,0
26.9,0,565,0,565,0,123,440,0,2,0,0
27,0,568,0,568,0,115,450,0,3,0,0
27.1,0,571,0,571,0,130,438,0,3,0,0
27.2,0,575,0,575,0,114,457,0,4,0,0
27.3,0,576,0,576,0,123,452,0,1,0,0
27.4,0,580,0,580,0,111,465,0,4,0,0
27.5,0,584,0,584,0,131,449,0,4,0,0
27.6,0,585,0,585,0,107,477,0,1,0,0
27.7,0,587,0,587,0,131,454,0,2,0,0
27.8,0,590,0,590,0,106,481,0,3,0,0
27.9,0,592,0,592,0,111,479,0,2,0,0
28,0,594,0,594,0,105,487,0,2,0,0
28.1,0,596,0,596,0,111,483,0,2,0,0
28.2,0,598,0,598,0,107,489,0,2,0,0
28.3,0,599,0,599,0,128,470,0,1,0,0
28.4,0,602,0,602,0,129,470,0,3,0,0
28.5,0,602,0,602,0,119,483,0,0,0,0
28.6,0,606,0,606,0,120,482,0,4,0,0
28.7,0,609,0,609,0,119,487,0,3,0,0
28.8,0,611,0,611,0,121,488,0,2,0,0
28.9,0,614,0,614,0,116,495,0,3,0,0
29,0,618,0,618,0,131,483,0,4,0,0
29.1,0,620,0,620,0,103,515,0,2,0,0
29.2,0,623,0,623,0,140,480,0,3,0,0
29.3,0,628,0,628,0,116,507,0,5,0,0
29.4,0,631,0,631,0,125,503,0,3,0,0
29.5,0,634,0,634,0,142,489,0,3,0,0
29.6,0,635,0,635,0,114,520,0,1,0,0
29.7,0,639,0,639,0,135,500,0,4,0,0
29.8,0,641,0,641,0,132,507,0,2,0,0
29.9,0,644,0,644,0,118,523,0,3,0,0
30,0,646,0,646,0,141,503,0,2,0,0
30.1,0,648,0,648,0,132,514,0,2,0,0
30.2,0,648,0,648,0,137,511,0,0,0,0
30.3,0,651,0,651,0,124,524,0,3,0,0
30.4,0,653,0,653,0,113,538,0,2,0,0
30.5,0,655,0,655,0,127,526,0,2,0,0
