cell_line,case_label,exposure_seconds,exposure_minutes,include_in_first_bar_chart
EGI1,0s,0.0,0.0,yes
EGI1,15s,15.0,0.25,no
EGI1,30s,30.0,0.5,yes
EGI1,1min,60.0,1.0,no
EGI1,2min,120.0,2.0,yes
EGI1,3min,180.0,3.0,no
EGI1,4min,240.0,4.0,yes
EGI1,5min,300.0,5.0,yes
HuCCT1,0s,0.0,0.0,yes
HuCCT1,15s,15.0,0.25,no
HuCCT1,30s,30.0,0.5,yes
HuCCT1,1min,60.0,1.0,no
HuCCT1,2min,120.0,2.0,yes
HuCCT1,3min,180.0,3.0,no
HuCCT1,4min,240.0,4.0,yes
HuCCT1,5min,300.0,5.0,yes
MiaPaCa2,0s,0.0,0.0,yes
MiaPaCa2,15s,15.0,0.25,no
MiaPaCa2,30s,30.0,0.5,yes
MiaPaCa2,1min,60.0,1.0,no
MiaPaCa2,2min,120.0,2.0,yes
MiaPaCa2,3min,180.0,3.0,no
MiaPaCa2,4min,240.0,4.0,yes
MiaPaCa2,5min,300.0,5.0,yes
PANC1,0s,0.0,0.0,yes
PANC1,15s,15.0,0.25,no
PANC1,30s,30.0,0.5,yes
PANC1,1min,60.0,1.0,no
PANC1,2min,120.0,2.0,yes
PANC1,3min,180.0,3.0,no
PANC1,4min,240.0,4.0,yes
PANC1,5min,300.0,5.0,yes
