current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0
1,0,1118,0.469065,0,1118,1,117,1000,0,0,0,0
2,0,1117,0.468994,0,1117,0,130,987,0,0,0,0
3,0,1117,0.46887,0,1117,0,130,987,0,0,0,0
4,0,1149,0.467445,0,1149,0,125,992,0,32,0,0
5,0,1180,0.469583,0,1180,0,145,1004,0,31,0,0
6,0,1212,0.468358,0,1212,0,116,1064,0,32,0,0
7,0,1244,0.469192,0,1244,0,120,1092,0,32,0,0
8,0,1287,0.466286,0,1287,0,127,1117,0,43,0,0
9,0,1335,0.468975,0,1335,0,134,1153,0,48,0,0
10,0,1380,0.466032,0,1380,0,139,1196,0,45,0,0
11,0,1431,0.466033,0,1431,0,142,1238,0,51,0,0
12,0,1477,0.466416,0,1477,2,157,1272,0,46,0,0
13,0,1532,0.468274,0,1532,1,140,1334,0,57,0,0
14,0,1583,0.469669,0,1583,0,145,1386,0,52,0,0
15,0,1647,0.468146,0,1647,1,118,1464,0,64,0,0
16,0,1703,0.468504,0,1703,1,145,1500,0,57,0,0
17,0,1748,0.468598,0,1748,0,150,1552,0,46,0,0
18,0,1818,0.469598,0,1818,0,175,1573,0,70,0,0
19,0,1884,0.470561,0,1884,1,166,1651,0,66,0,0
20,0,1951,0.468732,0,1951,1,146,1736,0,68,0,0
21,0,2036,0.469855,0,2036,2,182,1766,0,86,0,0
22,0,2109,0.469259,0,2109,0,165,1869,0,75,0,0
23,0,2198,0.470414,0,2198,2,183,1924,0,89,0,0
24,0,2269,0.469088,0,2269,0,177,2019,0,73,0,0
25,0,2347,0.469706,0,2347,1,198,2070,0,78,0,0
26,0,2439,0.468107,0,2439,1,197,2148,0,93,0,0
27,0,2533,0.469739,0,2533,0,198,2240,0,95,0,0
28,0,2622,0.473435,0,2622,0,221,2312,0,89,0,0
29,0,2725,0.470798,0,2725,2,238,2382,0,103,0,0
30,0,2847,0.470419,0,2847,2,264,2457,0,124,0,0
31,0,2959,0.46987,0,2959,1,247,2597,0,114,0,0
32,0,3068,0.469329,0,3068,1,256,2701,0,110,0,0
33,0,3178,0.470255,0,3178,1,251,2815,0,111,0,0
34,0,3289,0.470946,0,3289,0,254,2923,0,112,0,0
35,0,3408,0.468866,0,3408,0,267,3022,0,119,0,0
36,0,3543,0.469163,0,3543,0,299,3109,0,135,0,0
37,0,3686,0.470019,0,3686,3,298,3242,0,143,0,0
38,0,3824,0.469776,0,3824,3,305,3375,0,141,0,0
39,0,3987,0.469802,0,3987,2,314,3505,0,166,0,0
40,0,4124,0.470407,0,4124,1,320,3664,0,139,0,0
41,0,4284,0.469939,0,4284,1,345,3777,0,161,0,0
42,0,4459,0.470611,0,4459,0,364,3919,0,176,0,0
43,0,4625,0.470228,0,4625,1,352,4106,0,166,0,0
44,0,4794,0.470201,0,4794,1,362,4261,0,170,0,0
45,0,4972,0.469248,0,4972,2,397,4394,0,179,0,0
46,0,5151,0.468071,0,5151,1,397,4572,0,181,0,0
47,0,5343,0.470272,0,5343,2,401,4747,0,193,0,0
48,0,5531,0.46986,0,5531,28,432,4881,0,190,0,0
49,0,5696,0.469469,0,5696,8,440,5055,0,193,0,0
50,0,5885,0.469343,0,5885,10,461,5217,0,197,0,0
51,0,6078,0.4695,0,6078,4,455,5416,0,203,0,0
52,0,6291,0.469627,0,6291,5,504,5565,0,217,0,0
53,0,6508,0.470133,0,6508,3,494,5789,0,222,0,0
54,0,6736,0.470577,0,6736,3,543,5959,0,231,0,0
55,0,6972,0.470369,0,6972,9,516,6208,0,239,0,0
56,0,7218,0.47257,0,7218,6,578,6379,0,255,0,0
57,0,7504,0.471059,0,7504,8,588,6616,0,292,0,0
58,0,7793,0.470103,0,7793,7,617,6872,0,297,0,0
59,0,8064,0.475162,0,8064,6,614,7166,0,278,0,0
60,0,8329,0.470809,0,8329,12,598,7448,0,271,0,0
61,0,8601,0.47092,0,8601,3,642,7672,0,284,0,0
62,0,8926,0.470361,0,8926,15,652,7931,0,328,0,0
63,0,9247,0.46992,0,9247,6,705,8200,0,336,0,0
64,0,9569,0.471425,0,9569,9,737,8495,0,328,0,0
65,0,9900,0.470024,0,9900,7,752,8801,0,340,0,0
66,0,10234,0.471613,0,10234,3,740,9150,0,341,0,0
67,0,10636,0.469602,0,10636,10,852,9369,0,405,0,0
68,0,11001,0.470879,0,11001,7,823,9796,0,375,0,0
69,0,11370,0.469683,0,11370,12,875,10107,0,376,0,0
70,0,11746,0.469987,0,11746,15,885,10458,0,388,0,0
71,0,12171,0.471862,0,12171,16,963,10752,0,440,0,0
72,0,12550,0.471884,0,12550,12,890,11253,0,395,0,0
