cell_line,exposure_label_raw,exposure_seconds,exposure_minutes,exposure_label,time_h,n1,n2,n3,n4,mean_sheet,sd_sheet,mean_recomputed,sd_recomputed,mean_used,sd_used,mean_t0_normalized,sd_t0_normalized
EGI1,"0""",0,0.0,Control,0,0.121175,0.1879,0.25680000000000003,0.13829999999999998,0.17604375000000003,0.05561023364397503,0.17604375,0.06082026243709138,0.17604375,0.06082026243709138,1.0,0.3454837927338595
EGI1,"0""",0,0.0,Control,24,0.2248,0.42324999999999996,0.53705,0.21215,0.3493125,0.14063205260092723,0.3493125,0.15814448760021113,0.3493125,0.15814448760021113,1.984236872936415,0.898324919800965
EGI1,"0""",0,0.0,Control,48,0.5373,0.86705,1.21625,0.54195,0.7906374999999999,0.2857567220884756,0.7906375,0.32301198732915987,0.7906375,0.32301198732915987,4.491142116661341,1.8348392790380792
EGI1,"0""",0,0.0,Control,72,1.2766000050000001,1.53879999875,2.15577499625,1.4275,1.6822083325,0.44174470451153974,1.59966875,0.38599423763809276,1.59966875,0.38599423763809276,9.08676820392658,2.1926040409732965
EGI1,"15""",15,0.25,Treat:15s,0,0.121175,0.1879,0.25680000000000003,0.13829999999999998,0.17604375000000003,0.05561023364397503,0.17604375,0.06082026243709138,0.17604375,0.06082026243709138,1.0,0.3454837927338595
EGI1,"15""",15,0.25,Treat:15s,24,0.19835,0.35565,0.42425,0.25239999999999996,0.3076625,0.0892317444564993,0.3076625,0.10148663602497952,0.3076625,0.10148663602497952,1.7476479568289134,0.5764853113216432
EGI1,"15""",15,0.25,Treat:15s,48,0.4659,0.7887,1.08695,0.53615,0.719425,0.24519826161700267,0.719425,0.28150683976296803,0.719425,0.28150683976296803,4.0866261937728545,1.5990731835862848
EGI1,"15""",15,0.25,Treat:15s,72,1.24425,1.68495,1.5907500350000001,1.677075,1.574820007,0.2831996597729606,1.54925625875,0.20776667472055713,1.54925625875,0.20776667472055713,8.800404778641674,1.1801990966481748
EGI1,"30""",30,0.5,Treat:30s,0,0.121175,0.1879,0.25680000000000003,0.13829999999999998,0.17604375000000003,0.05561023364397503,0.17604375,0.06082026243709138,0.17604375,0.06082026243709138,1.0,0.3454837927338595
EGI1,"30""",30,0.5,Treat:30s,24,0.17995,0.39390000000000003,0.51905,0.25305,0.33648749999999994,0.13099427647324913,0.3364875,0.15065530953692494,0.3364875,0.15065530953692494,1.9113856640749813,0.8557833466790212
EGI1,"30""",30,0.5,Treat:30s,48,0.45304999999999995,0.7967,1.02315,0.50415,0.6942625,0.23461934696173306,0.6942625,0.26644990891034914,0.6942625,0.26644990891034914,3.9436929740476443,1.5135437009854036
EGI1,"30""",30,0.5,Treat:30s,72,1.00819999,1.38655,1.50192501,1.1599499999999998,1.261125,0.23904397878703013,1.2641562499999999,0.22202609669679985,1.2641562499999999,0.22202609669679985,7.180920935846912,1.2611984049237752
EGI1,1',60,1.0,Treat:1min,0,0.121175,0.1879,0.25680000000000003,0.13829999999999998,0.17604375000000003,0.05561023364397503,0.17604375,0.06082026243709138,0.17604375,0.06082026243709138,1.0,0.3454837927338595
EGI1,1',60,1.0,Treat:1min,24,0.17285,0.37905,0.47709999999999997,0.21789999999999998,0.31172500000000003,0.12363085173208173,0.311725,0.14138710749805536,0.311725,0.14138710749805536,1.7707246068093867,0.8031361948268846
EGI1,1',60,1.0,Treat:1min,48,0.36415,0.68845,0.97435,0.4315,0.6146125000000001,0.2431810137916813,0.6146125,0.27756362446293287,0.6146125,0.27756362446293287,3.491248624276636,1.576674119148978
EGI1,1',60,1.0,Treat:1min,72,0.8947833350000001,1.2199499974999999,1.1243500100000001,1.0276,1.0394571442857143,0.23375741818289097,1.066670835625,0.13891631976268928,1.066670835625,0.13891631976268928,6.059123573685519,0.7891011169819393
EGI1,2',120,2.0,Treat:2min,0,0.121175,0.1879,0.25680000000000003,0.13829999999999998,0.17604375000000003,0.05561023364397503,0.17604375,0.06082026243709138,0.17604375,0.06082026243709138,1.0,0.3454837927338595
EGI1,2',120,2.0,Treat:2min,24,0.1749,0.32425000000000004,0.39765,0.1953,0.3493125,0.14063205260092723,0.273025,0.10618393240034013,0.273025,0.10618393240034013,1.5508928888415523,0.6031678625361033
EGI1,2',120,2.0,Treat:2min,48,0.317,0.6209,0.8407,0.39935,0.7906374999999999,0.2857567220884756,0.5444875,0.23551091402523153,0.5444875,0.23551091402523153,3.09291014307523,1.3377976441948751
EGI1,2',120,2.0,Treat:2min,72,0.8300250025,1.0095166633333335,1.049799975,0.9126,1.6822083325,0.44174470451153974,0.9504854102083333,0.09881647257614758,0.9504854102083333,0.09881647257614758,5.399143168719897,0.5613176984479573
EGI1,3',180,3.0,Treat:3min,0,0.121175,0.1879,0.25680000000000003,0.13829999999999998,0.17604375000000003,0.05561023364397503,0.17604375,0.06082026243709138,0.17604375,0.06082026243709138,1.0,0.3454837927338595
EGI1,3',180,3.0,Treat:3min,24,0.13645000000000002,0.286,0.4023,0.179,0.3493125,0.14063205260092723,0.2509375,0.11891506335055566,0.2509375,0.11891506335055566,1.4254269180246386,0.6754858570699366
EGI1,3',180,3.0,Treat:3min,48,0.26085,0.4979,0.66815,0.2676,0.7906374999999999,0.2857567220884756,0.42362500000000003,0.19676445520808206,0.42362500000000003,0.19676445520808206,2.4063620548869245,1.1177020212764273
EGI1,3',180,3.0,Treat:3min,72,0.76795001,0.8531250025,0.8858999949999999,0.7662,1.6822083325,0.44174470451153974,0.818293751875,0.06064121662139501,0.818293751875,0.06064121662139501,4.648240859871481,0.344466739781418
EGI1,4',240,4.0,Treat:4min,0,0.121175,0.1879,0.25680000000000003,0.13829999999999998,0.17604375000000003,0.05561023364397503,0.17604375,0.06082026243709138,0.17604375,0.06082026243709138,1.0,0.3454837927338595
EGI1,4',240,4.0,Treat:4min,24,0.12375,0.25405,0.33335000000000004,0.15765,0.2172,0.08619642901536005,0.2172,0.09509267409567715,0.2172,0.09509267409567715,1.2337842155714134,0.5401650106617085
EGI1,4',240,4.0,Treat:4min,48,0.19105,0.48575,0.5237499999999999,0.2,0.3501375,0.1558550503472697,0.3501375,0.1792411335557029,0.3501375,0.1792411335557029,1.9889232080093726,1.018162437210653
