cell_line,exposure_label_raw,exposure_seconds,exposure_minutes,exposure_label,time_h,n1,n2,n3,n4,mean_sheet,sd_sheet,mean_recomputed,sd_recomputed,mean_used,sd_used,mean_t0_normalized,sd_t0_normalized,mean_abs_diff,sd_abs_diff
EGI1,"0""",0,0.0,Control,0,0.121175,0.1879,0.2568,0.1382999999999999,0.17604375,0.055610233643975,0.17604375,0.0608202624370913,0.17604375,0.0608202624370913,1.0,0.3454837927338595,0.0,0.0052100287931163
EGI1,"0""",0,0.0,Control,24,0.2248,0.4232499999999999,0.53705,0.21215,0.3493125,0.1406320526009272,0.3493125,0.1581444876002111,0.3493125,0.1581444876002111,1.984236872936415,0.898324919800965,0.0,0.0175124349992839
EGI1,"0""",0,0.0,Control,48,0.5373,0.86705,1.21625,0.54195,0.7906374999999999,0.2857567220884756,0.7906375,0.3230119873291598,0.7906375,0.3230119873291598,4.491142116661341,1.8348392790380792,1.1102230246251565e-16,0.03725526524068423
EGI1,"0""",0,0.0,Control,72,1.276600005,1.53879999875,2.15577499625,1.4275,1.6822083325,0.4417447045115397,1.59966875,0.3859942376380927,1.59966875,0.3859942376380927,9.08676820392658,2.1926040409732965,0.08253958249999993,0.05575046687344698
EGI1,"15""",15,0.25,Treat:15s,0,0.121175,0.1879,0.2568,0.1382999999999999,0.17604375,0.055610233643975,0.17604375,0.0608202624370913,0.17604375,0.0608202624370913,1.0,0.3454837927338595,0.0,0.0052100287931163
EGI1,"15""",15,0.25,Treat:15s,24,0.19835,0.35565,0.42425,0.2523999999999999,0.3076625,0.0892317444564993,0.3076625,0.1014866360249795,0.3076625,0.1014866360249795,1.7476479568289134,0.5764853113216432,0.0,0.012254891568480197
EGI1,"15""",15,0.25,Treat:15s,48,0.4659,0.7887,1.08695,0.53615,0.719425,0.2451982616170026,0.719425,0.281506839762968,0.719425,0.281506839762968,4.086626193772855,1.5990731835862848,0.0,0.03630857814596539
EGI1,"15""",15,0.25,Treat:15s,72,1.24425,1.68495,1.590750035,1.677075,1.574820007,0.2831996597729606,1.54925625875,0.2077666747205571,1.54925625875,0.2077666747205571,8.800404778641674,1.1801990966481748,0.025563748249999962,0.07543298505240348
EGI1,"30""",30,0.5,Treat:30s,0,0.121175,0.1879,0.2568,0.1382999999999999,0.17604375,0.055610233643975,0.17604375,0.0608202624370913,0.17604375,0.0608202624370913,1.0,0.3454837927338595,0.0,0.0052100287931163
EGI1,"30""",30,0.5,Treat:30s,24,0.17995,0.3939,0.51905,0.25305,0.3364874999999999,0.1309942764732491,0.3364875,0.1506553095369249,0.3364875,0.1506553095369249,1.9113856640749811,0.8557833466790212,1.1102230246251565e-16,0.01966103306367581
EGI1,"30""",30,0.5,Treat:30s,48,0.4530499999999999,0.7967,1.02315,0.50415,0.6942625,0.234619346961733,0.6942625,0.2664499089103491,0.6942625,0.2664499089103491,3.943692974047644,1.5135437009854036,0.0,0.03183056194861608
EGI1,"30""",30,0.5,Treat:30s,72,1.00819999,1.38655,1.50192501,1.1599499999999998,1.261125,0.2390439787870301,1.26415625,0.2220260966967998,1.26415625,0.2220260966967998,7.180920935846912,1.2611984049237752,0.003031250000000041,0.017017882090230307
EGI1,1',60,1.0,Treat:1min,0,0.121175,0.1879,0.2568,0.1382999999999999,0.17604375,0.055610233643975,0.17604375,0.0608202624370913,0.17604375,0.0608202624370913,1.0,0.3454837927338595,0.0,0.0052100287931163
EGI1,1',60,1.0,Treat:1min,24,0.17285,0.37905,0.4770999999999999,0.2178999999999999,0.311725,0.1236308517320817,0.311725,0.1413871074980553,0.311725,0.1413871074980553,1.7707246068093867,0.8031361948268846,0.0,0.017756255765973603
EGI1,1',60,1.0,Treat:1min,48,0.36415,0.68845,0.97435,0.4315,0.6146125000000001,0.2431810137916813,0.6146125,0.2775636244629328,0.6146125,0.2775636244629328,3.491248624276636,1.576674119148978,1.1102230246251565e-16,0.03438261067125151
EGI1,1',60,1.0,Treat:1min,72,0.8947833350000001,1.2199499975,1.12435001,1.0276,1.0394571442857143,0.2337574181828909,1.066670835625,0.1389163197626892,1.066670835625,0.1389163197626892,6.059123573685519,0.7891011169819393,0.02721369133928575,0.09484109842020169
EGI1,2',120,2.0,Treat:2min,0,0.121175,0.1879,0.2568,0.1382999999999999,0.17604375,0.055610233643975,0.17604375,0.0608202624370913,0.17604375,0.0608202624370913,1.0,0.3454837927338595,0.0,0.0052100287931163
EGI1,2',120,2.0,Treat:2min,24,0.1749,0.32425,0.39765,0.1953,0.3493125,0.1406320526009272,0.273025,0.1061839324003401,0.273025,0.1061839324003401,1.5508928888415523,0.6031678625361033,0.07628750000000001,0.0344481202005871
EGI1,2',120,2.0,Treat:2min,48,0.317,0.6209,0.8407,0.39935,0.7906374999999999,0.2857567220884756,0.5444875,0.2355109140252315,0.5444875,0.2355109140252315,3.09291014307523,1.3377976441948751,0.24614999999999987,0.05024580806324408
EGI1,2',120,2.0,Treat:2min,72,0.8300250025,1.0095166633333337,1.049799975,0.9126,1.6822083325,0.4417447045115397,0.9504854102083332,0.0988164725761475,0.9504854102083332,0.0988164725761475,5.399143168719897,0.5613176984479573,0.7317229222916667,0.3429282319353922
EGI1,3',180,3.0,Treat:3min,0,0.121175,0.1879,0.2568,0.1382999999999999,0.17604375,0.055610233643975,0.17604375,0.0608202624370913,0.17604375,0.0608202624370913,1.0,0.3454837927338595,0.0,0.0052100287931163
EGI1,3',180,3.0,Treat:3min,24,0.13645,0.286,0.4023,0.179,0.3493125,0.1406320526009272,0.2509375,0.1189150633505556,0.2509375,0.1189150633505556,1.4254269180246386,0.6754858570699366,0.09837500000000005,0.021716989250371604
EGI1,3',180,3.0,Treat:3min,48,0.26085,0.4979,0.66815,0.2676,0.7906374999999999,0.2857567220884756,0.423625,0.196764455208082,0.423625,0.196764455208082,2.4063620548869245,1.1177020212764273,0.3670124999999999,0.08899226688039358
EGI1,3',180,3.0,Treat:3min,72,0.76795001,0.8531250025,0.8858999949999999,0.7662,1.6822083325,0.4417447045115397,0.818293751875,0.060641216621395,0.818293751875,0.060641216621395,4.648240859871481,0.344466739781418,0.8639145806249999,0.3811034878901447
EGI1,4',240,4.0,Treat:4min,0,0.121175,0.1879,0.2568,0.1382999999999999,0.17604375,0.055610233643975,0.17604375,0.0608202624370913,0.17604375,0.0608202624370913,1.0,0.3454837927338595,0.0,0.0052100287931163
EGI1,4',240,4.0,Treat:4min,24,0.12375,0.25405,0.33335,0.15765,0.2172,0.08619642901536,0.2172,0.0950926740956771,0.2172,0.0950926740956771,1.2337842155714134,0.5401650106617085,0.0,0.008896245080317097
EGI1,4',240,4.0,Treat:4min,48,0.19105,0.48575,0.5237499999999999,0.2,0.3501375,0.1558550503472697,0.3501375,0.1792411335557029,0.3501375,0.1792411335557029,1.9889232080093728,1.018162437210653,0.0,0.02338608320843319
EGI1,4',240,4.0,Treat:4min,72,0.5353499975,0.59875,0.85165,0.40245001,0.5847100009999999,0.1957035580698016,0.597050001875,0.1884145221017567,0.597050001875,0.1884145221017567,3.3914865019348883,1.0702710099151869,0.01234000087500009,0.007289035968044921
EGI1,5',300,5.0,Treat:5min,0,0.121175,0.1879,0.2568,0.1382999999999999,0.17604375,0.055610233643975,0.17604375,0.0608202624370913,0.17604375,0.0608202624370913,1.0,0.3454837927338595,0.0,0.0052100287931163
EGI1,5',300,5.0,Treat:5min,24,0.0902,0.2503999999999999,0.17515,0.1041499999999999,0.154975,0.0783378181340276,0.1549749999999999,0.0736929270690206,0.1549749999999999,0.0736929270690206,0.8803209429474206,0.4186057560635958,1.1102230246251565e-16,0.004644891065006998
EGI1,5',300,5.0,Treat:5min,48,0.0689,0.1615,0.2762,0.1424,0.16225,0.1210753303732845,0.16225,0.0858164902568265,0.16225,0.0858164902568265,0.9216458976816844,0.4874725189438791,0.0,0.035258840116457996
EGI1,5',300,5.0,Treat:5min,72,0.0764499999999999,0.111325,0.120749995,0.13795,0.1561857135714285,0.1146262366197732,0.11161874875,0.0259077956571474,0.11161874875,0.0259077956571474,0.6340398267476124,0.1471668017589231,0.044566964821428495,0.0887184409626258
HuCCT1,"0""",0,0.0,Control,0,0.13105,0.145525,0.20845,0.18735,0.171945,0.0677004545969344,0.16809375,0.0359676612563285,0.16809375,0.0359676612563285,1.0,0.2139738167322019,0.0038512500000000005,0.0317327933406059
HuCCT1,"0""",0,0.0,Control,24,0.232875,0.419575,0.4818749999999999,0.4111249999999999,0.391315,0.1555808074856751,0.3863625,0.1070783231642458,0.3863625,0.1070783231642458,2.2984941438929165,0.6370154938196442,0.004952500000000026,0.0485024843214293
HuCCT1,"0""",0,0.0,Control,48,0.618225,1.0410499999999998,1.07215,0.9401375,0.9223399999999998,0.3185590400538031,0.917890625,0.2075721534629082,0.917890625,0.2075721534629082,5.460587469789923,1.2348594368494263,0.004449374999999867,0.1109868865908949
HuCCT1,"0""",0,0.0,Control,72,1.6787750125,2.09125,2.2913500075,1.633575,1.8592958366666668,0.2984852101617524,1.923737505,0.3201043007183363,1.923737505,0.3201043007183363,11.444432080312325,1.904320063764038,0.06444166833333331,0.021619090556583898
HuCCT1,"15""",15,0.25,Treat:15s,0,0.13105,0.145525,0.20845,0.18735,0.171945,0.0677004545969344,0.16809375,0.0359676612563285,0.16809375,0.0359676612563285,1.0,0.2139738167322019,0.0038512500000000005,0.0317327933406059
HuCCT1,"15""",15,0.25,Treat:15s,24,0.1856499999999999,0.3622,0.3825,0.42715,0.3569299999999999,0.1531519238461527,0.339375,0.1060134779167252,0.339375,0.1060134779167252,2.018962632459565,0.6306806643121786,0.017554999999999932,0.047138445929427494
HuCCT1,"15""",15,0.25,Treat:15s,48,0.4849,0.9502,0.87165,0.835475,0.7955400000000001,0.2668620011666453,0.78555625,0.2060790790519908,0.78555625,0.2060790790519908,4.673322178843651,1.2259770458567958,0.00998375000000018,0.060782922114654525
HuCCT1,"15""",15,0.25,Treat:15s,72,1.3083500300000002,1.806199965,1.3834499999999998,1.6132,1.544879999,0.200301824061591,1.52779999875,0.2264176909644371,1.52779999875,0.2264176909644371,9.088975638594532,1.3469726921104272,0.017080000250000005,0.02611586690284609
HuCCT1,"30""",30,0.5,Treat:30s,0,0.13105,0.145525,0.20845,0.18735,0.171945,0.0677004545969344,0.16809375,0.0359676612563285,0.16809375,0.0359676612563285,1.0,0.2139738167322019,0.0038512500000000005,0.0317327933406059
HuCCT1,"30""",30,0.5,Treat:30s,24,0.1916,0.3496,0.36985,0.372325,0.33114,0.1214434614680154,0.32084375,0.0867617436215409,0.32084375,0.0867617436215409,1.9087190927681723,0.516150919481188,0.010296250000000007,0.0346817178464745
HuCCT1,"30""",30,0.5,Treat:30s,48,0.3414,0.83355,0.7475499999999999,0.669875,0.65245,0.2435290947710353,0.64809375,0.2151131837496638,0.64809375,0.2151131837496638,3.8555493586168432,1.2797214872632912,0.0043562499999999504,0.028415911021371504
HuCCT1,"30""",30,0.5,Treat:30s,72,1.011400015,1.1065500350000002,1.458649995,1.1182833333333333,1.1552416741666665,0.1648962446204425,1.1737208445833334,0.1958893461348858,1.1737208445833334,0.1958893461348858,6.982537093635743,1.165357701490304,0.018479170416666912,0.03099310151444329
HuCCT1,1',60,1.0,Treat:1min,0,0.13105,0.145525,0.20845,0.18735,0.171945,0.0677004545969344,0.16809375,0.0359676612563285,0.16809375,0.0359676612563285,1.0,0.2139738167322019,0.0038512500000000005,0.0317327933406059
HuCCT1,1',60,1.0,Treat:1min,24,0.14995,0.33405,0.33465,0.37055,0.31195,0.1298021400268714,0.2973,0.0997048477591068,0.2973,0.0997048477591068,1.7686558839933073,0.5931502376448072,0.014649999999999996,0.0300972922677646
HuCCT1,1',60,1.0,Treat:1min,48,0.26215,0.6346499999999999,0.6757500000000001,0.555925,0.53688,0.2012261279147308,0.53211875,0.1867194479415128,0.53211875,0.1867194479415128,3.165606990146867,1.110805416272246,0.00476125000000005,0.014506679973218
HuCCT1,1',60,1.0,Treat:1min,72,0.7688499950000001,0.65189999,1.182699975,0.80345000125,0.8310357092857144,0.1749544563896686,0.8517249903125,0.2299805866124449,0.8517249903125,0.2299805866124449,5.066964062093326,1.3681685762406093,0.02068928102678569,0.055026130222776276
HuCCT1,2',120,2.0,Treat:2min,0,0.13105,0.145525,0.20845,0.18735,0.171945,0.0677004545969344,0.16809375,0.0359676612563285,0.16809375,0.0359676612563285,1.0,0.2139738167322019,0.0038512500000000005,0.0317327933406059
HuCCT1,2',120,2.0,Treat:2min,24,0.15215,0.44045,0.2621,0.244875,0.2688899999999999,0.1054378247541598,0.27489375,0.1204708892481914,0.27489375,0.1204708892481914,1.6353597322922475,0.7166886885930702,0.006003750000000085,0.015033064494031592
HuCCT1,2',120,2.0,Treat:2min,48,0.2153,0.6329,0.50895,0.4072999999999999,0.4343499999999999,0.1705947374465121,0.4411125,0.1765587172161148,0.4411125,0.1765587172161148,2.6242052426101505,1.0503586077181026,0.006762500000000116,0.005963979769602695
HuCCT1,2',120,2.0,Treat:2min,72,0.519299985,0.6806,0.538600015,0.71996249375,0.6597642821428572,0.113235695211118,0.6146156234375,0.1005242005553091,0.6146156234375,0.1005242005553091,3.656385936047592,0.5980246175441332,0.045148658705357225,0.012711494655808897
HuCCT1,3',180,3.0,Treat:3min,0,0.13105,0.145525,0.20845,0.18735,0.171945,0.0677004545969344,0.16809375,0.0359676612563285,0.16809375,0.0359676612563285,1.0,0.2139738167322019,0.0038512500000000005,0.0317327933406059
HuCCT1,3',180,3.0,Treat:3min,24,0.1422,0.2624999999999999,0.25255,0.279975,0.24344,0.0906494033810114,0.23430625,0.0624417541093297,0.23430625,0.0624417541093297,1.39390221230712,0.3714698143704317,0.009133749999999996,0.028207649271681706
HuCCT1,3',180,3.0,Treat:3min,48,0.15625,0.39795,0.3743,0.3502,0.32578,0.142086417757332,0.319675,0.1106802790322949,0.319675,0.1106802790322949,1.901766127532999,0.6584437495879231,0.006105000000000027,0.0314061387250371
HuCCT1,3',180,3.0,Treat:3min,72,0.49104999,0.3712999999999999,0.60364997,0.5523166666666667,0.52049166,0.0977834800024729,0.5045791566666666,0.1000670906075862,0.5045791566666666,0.1000670906075862,3.0017722649810987,0.5953052425065548,0.015912503333333383,0.002283610605113298
HuCCT1,4',240,4.0,Treat:4min,0,0.13105,0.145525,0.20845,0.18735,0.171945,0.0677004545969344,0.16809375,0.0359676612563285,0.16809375,0.0359676612563285,1.0,0.2139738167322019,0.0038512500000000005,0.0317327933406059
HuCCT1,4',240,4.0,Treat:4min,24,0.1078,0.17485,0.2279499999999999,0.24075,0.1984199999999999,0.082467994465193,0.1878375,0.0605073600894965,0.1878375,0.0605073600894965,1.1174567763524816,0.3599619860315837,0.010582499999999911,0.0219606343756965
HuCCT1,4',240,4.0,Treat:4min,48,0.0937,0.3199499999999999,0.18,0.1911,0.19517,0.0965009763911456,0.1961875,0.0932894454105071,0.1961875,0.0932894454105071,1.1671314370700872,0.5549846166826974,0.0010174999999999768,0.003211530980638505
HuCCT1,4',240,4.0,Treat:4min,72,0.13045,0.172400005,0.14125,0.343725,0.226310001,0.1150335160946098,0.19695625125,0.0994490534950559,0.19695625125,0.0994490534950559,1.1717047852760736,0.5916285019226234,0.02935374975000002,0.0155844625995539
HuCCT1,5',300,5.0,Treat:5min,0,0.13105,0.145525,0.20845,0.18735,0.171945,0.0677004545969344,0.16809375,0.0359676612563285,0.16809375,0.0359676612563285,1.0,0.2139738167322019,0.0038512500000000005,0.0317327933406059
