current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
20,0,1806,0.489424,0,1806,0,1376,0,0,430,0,0,0
21,0,2078,0.476071,0,2078,0,1920,0,0,158,0,0,0
22,0,2174,0.470545,0,2174,0,2112,0,0,62,0,0,0
23,0,2212,0.470685,0,2212,0,2188,0,0,24,0,0,0
24,0,2226,0.470545,0,2226,0,2216,0,0,10,0,0,0
25,0,2234,0.470545,0,2234,0,2232,0,0,2,0,0,0
26,0,2235,0.470545,0,2235,0,2234,0,0,1,0,0,0
27,0,2236,0.470545,0,2236,0,2236,0,0,0,0,0,0
28,0,2236,0.470545,0,2236,0,1548,688,0,0,0,0,0
29,0,2236,0.470545,0,2236,0,588,1648,0,0,0,0,0
30,0,2236,0.470545,0,2236,0,220,2016,0,0,0,0,0
31,0,2236,0.470545,0,2236,0,86,2150,0,0,0,0,0
32,0,2236,0.470545,0,2236,0,34,2202,0,0,0,0,0
33,0,2236,0.470545,0,2236,0,12,2224,0,0,0,0,0
34,0,2236,0.470545,0,2236,0,3,2233,0,0,0,0,0
35,0,2236,0.470545,0,2236,0,1,2235,0,0,0,0,0
36,0,2236,0.470545,0,2236,0,0,1548,688,0,0,0,0
37,0,2236,0.470545,0,2236,0,0,588,1648,0,0,0,0
38,0,2236,0.470545,0,2236,0,0,220,2016,0,0,0,0
39,0,2236,0.470545,0,2236,0,0,86,2150,0,0,0,0
40,0,2660,0.478755,0,2660,0,848,34,1514,264,0,0,0
41,0,3401,0.474898,0,3401,0,2330,12,576,483,0,0,0
42,0,3910,0.482819,0,3910,0,3348,3,217,342,0,0,0
43,0,4201,0.470312,0,4201,0,3930,1,85,185,0,0,0
44,0,4346,0.472117,0,4346,0,4220,0,34,92,0,0,0
45,0,4415,0.470313,0,4415,0,4358,0,12,45,0,0,0
46,0,4447,0.47345,0,4447,0,4422,0,3,22,0,0,0
47,0,4463,0.470314,0,4463,0,4454,0,1,8,0,0,0
48,0,4467,0.470314,0,4467,0,4038,424,0,5,0,0,0
49,0,4469,0.470314,0,4469,0,2877,1589,0,3,0,0,0
50,0,4472,0.470314,0,4472,0,1633,2839,0,0,0,0,0
51,0,4472,0.470314,0,4472,0,833,3639,0,0,0,0,0
52,0,4472,0.470314,0,4472,0,397,4075,0,0,0,0,0
53,0,4472,0.470314,0,4472,0,183,4289,0,0,0,0,0
54,0,4472,0.470315,0,4472,0,82,4390,0,0,0,0,0
55,0,4472,0.470315,0,4472,0,34,4438,0,0,0,0,0
56,0,4472,0.470315,0,4472,0,14,4034,424,0,0,0,0
57,0,4472,0.470315,0,4472,0,8,2875,1589,0,0,0,0
58,0,4472,0.470315,0,4472,0,3,1630,2839,0,0,0,0
59,0,4472,0.470315,0,4472,0,0,833,3639,0,0,0,0
60,0,4732,0.475444,0,4732,0,520,397,3651,164,0,0,0
61,0,5543,0.475408,0,5543,0,2142,183,2700,518,0,0,0
62,0,6618,0.482382,0,6618,0,4292,82,1551,693,0,0,0
63,0,7546,0.477124,0,7546,0,6148,34,799,565,0,0,0
64,0,8141,0.480295,0,8141,0,7338,14,383,406,0,0,0
65,0,8509,0.478584,0,8509,0,8074,8,175,252,0,0,0
66,0,8726,0.470836,0,8726,0,8508,3,79,136,0,0,0
67,0,8833,0.470534,0,8833,0,8722,0,34,77,0,0,0
68,0,8899,0.470535,0,8899,0,8594,260,14,31,0,0,0
69,0,8923,0.470529,0,8923,0,7571,1331,8,13,0,0,0
70,0,8934,0.47053,0,8934,0,5707,3217,3,7,0,0,0
71,0,8940,0.47053,0,8940,0,3716,5220,0,4,0,0,0
72,0,8943,0.47053,0,8943,0,2199,6743,0,1,0,0,0
