current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
20,0,1825,0.486105,0,1825,0,1414,0,0,411,0,0,0
21,0,2101,0.483894,0,2101,0,1966,0,0,135,0,0,0
22,0,2188,0.470556,0,2188,0,2140,0,0,48,0,0,0
23,0,2214,0.470558,0,2214,0,2192,0,0,22,0,0,0
24,0,2231,0.470557,0,2231,0,2226,0,0,5,0,0,0
25,0,2235,0.470557,0,2235,0,2234,0,0,1,0,0,0
26,0,2236,0.470557,0,2236,0,2236,0,0,0,0,0,0
27,0,2236,0.470557,0,2236,0,2236,0,0,0,0,0,0
28,0,2236,0.470557,0,2236,0,1529,707,0,0,0,0,0
29,0,2236,0.470557,0,2236,0,546,1690,0,0,0,0,0
30,0,2236,0.470557,0,2236,0,183,2053,0,0,0,0,0
31,0,2236,0.470557,0,2236,0,70,2166,0,0,0,0,0
32,0,2236,0.470557,0,2236,0,27,2209,0,0,0,0,0
33,0,2236,0.470557,0,2236,0,6,2230,0,0,0,0,0
34,0,2236,0.470557,0,2236,0,1,2235,0,0,0,0,0
35,0,2236,0.470557,0,2236,0,0,2236,0,0,0,0,0
36,0,2236,0.470557,0,2236,0,0,1529,707,0,0,0,0
37,0,2236,0.470557,0,2236,0,0,546,1690,0,0,0,0
38,0,2236,0.470556,0,2236,0,0,183,2053,0,0,0,0
39,0,2236,0.470556,0,2236,0,0,70,2166,0,0,0,0
40,0,2700,0.478663,0,2700,0,928,27,1502,243,0,0,0
41,0,3475,0.477504,0,3475,0,2478,6,540,451,0,0,0
42,0,3972,0.48191,0,3972,0,3472,1,182,317,0,0,0
43,0,4236,0.478904,0,4236,0,4000,0,70,166,0,0,0
44,0,4372,0.470599,0,4372,0,4272,0,27,73,0,0,0
45,0,4431,0.470599,0,4431,0,4390,0,6,35,0,0,0
46,0,4451,0.470599,0,4451,0,4430,0,1,20,0,0,0
47,0,4466,0.4706,0,4466,0,4460,0,0,6,0,0,0
48,0,4466,0.470599,0,4466,0,3996,464,0,6,0,0,0
49,0,4469,0.4706,0,4469,0,2763,1703,0,3,0,0,0
50,0,4471,0.4706,0,4471,0,1495,2975,0,1,0,0,0
51,0,4472,0.470599,0,4472,0,736,3736,0,0,0,0,0
52,0,4472,0.470599,0,4472,0,336,4136,0,0,0,0,0
53,0,4472,0.470599,0,4472,0,141,4331,0,0,0,0,0
54,0,4472,0.470599,0,4472,0,62,4410,0,0,0,0,0
55,0,4472,0.470599,0,4472,0,27,4445,0,0,0,0,0
56,0,4472,0.470599,0,4472,0,12,3996,464,0,0,0,0
57,0,4472,0.470599,0,4472,0,9,2760,1703,0,0,0,0
58,0,4472,0.470599,0,4472,0,4,1493,2975,0,0,0,0
59,0,4472,0.470599,0,4472,0,1,735,3736,0,0,0,0
60,0,4774,0.470599,0,4774,0,604,336,3672,162,0,0,0
61,0,5651,0.477832,0,5651,0,2358,141,2628,524,0,0,0
62,0,6775,0.480729,0,6775,0,4606,62,1435,672,0,0,0
63,0,7691,0.481319,0,7691,0,6438,27,709,517,0,0,0
64,0,8272,0.471637,0,8272,0,7600,12,324,336,0,0,0
65,0,8606,0.471049,0,8606,0,8268,9,132,197,0,0,0
66,0,8789,0.470705,0,8789,0,8634,4,58,93,0,0,0
67,0,8864,0.471085,0,8864,0,8784,1,26,53,0,0,0
68,0,8909,0.470632,0,8909,0,8572,302,12,23,0,0,0
69,0,8924,0.470633,0,8924,0,7423,1481,9,11,0,0,0
70,0,8932,0.470633,0,8932,0,5438,3482,4,8,0,0,0
71,0,8938,0.470633,0,8938,0,3410,5522,1,5,0,0,0
72,0,8943,0.470633,0,8943,0,1923,7019,0,1,0,0,0
