current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470595,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470595,0,1118,0,0,0,1118,0,0,0,0
20,0,1823,0.485444,0,1823,0,1410,0,0,413,0,0,0
21,0,2097,0.471905,0,2097,0,1958,0,0,139,0,0,0
22,0,2182,0.477973,0,2182,0,2128,0,0,54,0,0,0
23,0,2218,0.470543,0,2218,0,2200,0,0,18,0,0,0
24,0,2233,0.474504,0,2233,0,2230,0,0,3,0,0,0
25,0,2235,0.470542,0,2235,0,2234,0,0,1,0,0,0
26,0,2236,0.470542,0,2236,0,2236,0,0,0,0,0,0
27,0,2236,0.470542,0,2236,0,2236,0,0,0,0,0,0
28,0,2236,0.470542,0,2236,0,1531,705,0,0,0,0,0
29,0,2236,0.470542,0,2236,0,552,1684,0,0,0,0,0
30,0,2236,0.470542,0,2236,0,193,2043,0,0,0,0,0
31,0,2236,0.470542,0,2236,0,72,2164,0,0,0,0,0
32,0,2236,0.470542,0,2236,0,21,2215,0,0,0,0,0
33,0,2236,0.470542,0,2236,0,4,2232,0,0,0,0,0
34,0,2236,0.470542,0,2236,0,1,2235,0,0,0,0,0
35,0,2236,0.470541,0,2236,0,0,2236,0,0,0,0,0
36,0,2236,0.470541,0,2236,0,0,1531,705,0,0,0,0
37,0,2236,0.470541,0,2236,0,0,552,1684,0,0,0,0
38,0,2236,0.470541,0,2236,0,0,193,2043,0,0,0,0
39,0,2236,0.470541,0,2236,0,0,72,2164,0,0,0,0
40,0,2680,0.475673,0,2680,0,888,21,1510,261,0,0,0
41,0,3463,0.48351,0,3463,0,2454,4,548,457,0,0,0
42,0,3965,0.480252,0,3965,0,3458,1,192,314,0,0,0
43,0,4243,0.47326,0,4243,0,4014,0,72,157,0,0,0
44,0,4388,0.473746,0,4388,0,4304,0,21,63,0,0,0
45,0,4447,0.47058,0,4447,0,4422,0,4,21,0,0,0
46,0,4460,0.473673,0,4460,0,4448,0,1,11,0,0,0
47,0,4464,0.471301,0,4464,0,4456,0,0,8,0,0,0
48,0,4469,0.470581,0,4469,0,4022,444,0,3,0,0,0
49,0,4472,0.470581,0,4472,0,2801,1671,0,0,0,0,0
50,0,4472,0.470581,0,4472,0,1516,2956,0,0,0,0,0
51,0,4472,0.470581,0,4472,0,736,3736,0,0,0,0,0
52,0,4472,0.470581,0,4472,0,313,4159,0,0,0,0,0
53,0,4472,0.470581,0,4472,0,109,4363,0,0,0,0,0
54,0,4472,0.470581,0,4472,0,37,4435,0,0,0,0,0
55,0,4472,0.470581,0,4472,0,20,4452,0,0,0,0,0
56,0,4472,0.470581,0,4472,0,11,4017,444,0,0,0,0
57,0,4472,0.470581,0,4472,0,3,2798,1671,0,0,0,0
58,0,4472,0.470581,0,4472,0,0,1516,2956,0,0,0,0
59,0,4472,0.470582,0,4472,0,0,736,3736,0,0,0,0
60,0,4751,0.472378,0,4751,0,558,313,3715,165,0,0,0
61,0,5615,0.486131,0,5615,0,2286,109,2692,528,0,0,0
62,0,6782,0.479531,0,6782,0,4620,37,1479,646,0,0,0
63,0,7695,0.479031,0,7695,0,6446,20,716,513,0,0,0
64,0,8270,0.472836,0,8270,0,7596,11,302,361,0,0,0
65,0,8627,0.476065,0,8627,0,8310,3,106,208,0,0,0
66,0,8812,0.470594,0,8812,0,8680,0,37,95,0,0,0
67,0,8888,0.473004,0,8888,0,8832,0,20,36,0,0,0
68,0,8912,0.470597,0,8912,0,8601,279,11,21,0,0,0
69,0,8929,0.47059,0,8929,0,7492,1422,3,12,0,0,0
70,0,8938,0.474515,0,8938,0,5479,3453,0,6,0,0,0
71,0,8942,0.47059,0,8942,0,3407,5533,0,2,0,0,0
72,0,8943,0.47059,0,8943,0,1921,7021,0,1,0,0,0
