current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
20,0,1545,0.475033,0,1545,0,854,0,0,691,0,0,0
21,0,1815,0.472637,0,1815,0,1394,0,0,421,0,0,0
22,0,1975,0.473109,0,1975,0,1714,0,0,261,0,0,0
23,0,2057,0.470825,0,2057,0,1878,0,0,179,0,0,0
24,0,2117,0.472442,0,2117,0,1998,0,0,119,0,0,0
25,0,2162,0.474943,0,2162,0,2088,0,0,74,0,0,0
26,0,2178,0.470598,0,2178,0,2120,0,0,58,0,0,0
27,0,2192,0.470596,0,2192,0,2148,0,0,44,0,0,0
28,0,2208,0.471276,0,2208,0,1753,427,0,28,0,0,0
29,0,2215,0.470596,0,2215,0,1070,1124,0,21,0,0,0
30,0,2219,0.470596,0,2219,0,648,1554,0,17,0,0,0
31,0,2220,0.470595,0,2220,0,408,1796,0,16,0,0,0
32,0,2223,0.470595,0,2223,0,272,1938,0,13,0,0,0
33,0,2223,0.470595,0,2223,0,167,2043,0,13,0,0,0
34,0,2223,0.470595,0,2223,0,106,2104,0,13,0,0,0
35,0,2223,0.470595,0,2223,0,76,2134,0,13,0,0,0
36,0,2224,0.470595,0,2224,0,48,1737,427,12,0,0,0
37,0,2225,0.470595,0,2225,0,27,1063,1124,11,0,0,0
38,0,2225,0.470595,0,2225,0,16,644,1554,11,0,0,0
39,0,2225,0.470595,0,2225,0,11,407,1796,11,0,0,0
40,0,2404,0.470595,0,2404,0,365,269,1511,259,0,0,0
41,0,2748,0.471415,0,2748,0,1050,167,919,612,0,0,0
42,0,3137,0.473142,0,3137,0,1828,106,550,653,0,0,0
43,0,3472,0.473707,0,3472,0,2498,76,338,560,0,0,0
44,0,3737,0.473238,0,3737,0,3027,47,226,437,0,0,0
45,0,3946,0.471421,0,3946,0,3443,26,144,333,0,0,0
46,0,4108,0.471914,0,4108,0,3766,16,94,232,0,0,0
47,0,4197,0.472557,0,4197,0,3944,11,69,173,0,0,0
48,0,4276,0.471702,0,4276,0,3923,186,43,124,0,0,0
49,0,4323,0.473581,0,4323,0,3494,706,23,100,0,0,0
50,0,4359,0.471359,0,4359,0,2833,1439,12,75,0,0,0
51,0,4384,0.470511,0,4384,0,2159,2163,7,55,0,0,0
52,0,4402,0.471336,0,4402,0,1595,2762,4,41,0,0,0
53,0,4412,0.471003,0,4412,0,1141,3234,3,34,0,0,0
54,0,4424,0.47051,0,4424,0,794,3604,4,22,0,0,0
55,0,4430,0.47051,0,4430,0,555,3855,4,16,0,0,0
56,0,4434,0.47051,0,4434,0,395,3844,182,13,0,0,0
57,0,4436,0.47051,0,4436,0,273,3447,703,13,0,0,0
58,0,4438,0.47051,0,4438,0,194,2797,1435,12,0,0,0
59,0,4440,0.47051,0,4440,0,137,2134,2159,10,0,0,0
60,0,4524,0.47051,0,4524,0,262,1577,2580,105,0,0,0
61,0,4767,0.470509,0,4767,0,720,1131,2531,385,0,0,0
62,0,5190,0.472032,0,5190,0,1544,782,2169,695,0,0,0
63,0,5707,0.470905,0,5707,0,2560,549,1696,902,0,0,0
64,0,6297,0.473211,0,6297,0,3730,391,1264,912,0,0,0
65,0,6817,0.475058,0,6817,0,4764,271,916,866,0,0,0
66,0,7285,0.473505,0,7285,0,5696,192,628,769,0,0,0
67,0,7664,0.477645,0,7664,0,6450,135,438,641,0,0,0
68,0,7974,0.477761,0,7974,0,6984,178,313,499,0,0,0
69,0,8207,0.473494,0,8207,0,7123,477,215,392,0,0,0
70,0,8370,0.47609,0,8370,0,6783,1121,154,312,0,0,0
71,0,8517,0.476027,0,8517,0,6137,2043,111,226,0,0,0
72,0,8624,0.47307,0,8624,0,5244,3140,78,162,0,0,0
