current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
20,0,1971,0.489627,0,1971,0,1706,0,0,265,0,0,0
21,0,2172,0.475473,0,2172,0,2108,0,0,64,0,0,0
22,0,2220,0.470536,0,2220,0,2204,0,0,16,0,0,0
23,0,2233,0.470536,0,2233,0,2230,0,0,3,0,0,0
24,0,2235,0.470536,0,2235,0,2234,0,0,1,0,0,0
25,0,2236,0.470536,0,2236,0,2236,0,0,0,0,0,0
26,0,2236,0.470536,0,2236,0,2236,0,0,0,0,0,0
27,0,2236,0.470536,0,2236,0,2236,0,0,0,0,0,0
28,0,2236,0.470536,0,2236,0,1383,853,0,0,0,0,0
29,0,2236,0.470536,0,2236,0,329,1907,0,0,0,0,0
30,0,2236,0.470536,0,2236,0,80,2156,0,0,0,0,0
31,0,2236,0.470536,0,2236,0,19,2217,0,0,0,0,0
32,0,2236,0.470536,0,2236,0,4,2232,0,0,0,0,0
33,0,2236,0.470536,0,2236,0,1,2235,0,0,0,0,0
34,0,2236,0.470536,0,2236,0,0,2236,0,0,0,0,0
35,0,2236,0.470536,0,2236,0,0,2236,0,0,0,0,0
36,0,2236,0.470536,0,2236,0,0,1383,853,0,0,0,0
37,0,2236,0.470536,0,2236,0,0,329,1907,0,0,0,0
38,0,2236,0.470536,0,2236,0,0,80,2156,0,0,0,0
39,0,2236,0.470536,0,2236,0,0,19,2217,0,0,0,0
40,0,2885,0.481847,0,2885,0,1298,4,1379,204,0,0,0
41,0,3841,0.476342,0,3841,0,3210,1,328,302,0,0,0
42,0,4266,0.479555,0,4266,0,4060,0,80,126,0,0,0
43,0,4408,0.472188,0,4408,0,4344,0,19,45,0,0,0
44,0,4456,0.473826,0,4456,0,4440,0,4,12,0,0,0
45,0,4466,0.470397,0,4466,0,4460,0,1,5,0,0,0
46,0,4471,0.470398,0,4471,0,4470,0,0,1,0,0,0
47,0,4472,0.470398,0,4472,0,4472,0,0,0,0,0,0
48,0,4472,0.470398,0,4472,0,3823,649,0,0,0,0,0
49,0,4472,0.470398,0,4472,0,2218,2254,0,0,0,0,0
50,0,4472,0.470398,0,4472,0,837,3635,0,0,0,0,0
51,0,4472,0.470398,0,4472,0,270,4202,0,0,0,0,0
52,0,4472,0.470398,0,4472,0,80,4392,0,0,0,0,0
53,0,4472,0.470398,0,4472,0,22,4450,0,0,0,0,0
54,0,4472,0.470398,0,4472,0,7,4465,0,0,0,0,0
55,0,4472,0.470398,0,4472,0,1,4471,0,0,0,0,0
56,0,4472,0.470398,0,4472,0,0,3823,649,0,0,0,0
57,0,4472,0.470398,0,4472,0,0,2218,2254,0,0,0,0
58,0,4472,0.470398,0,4472,0,0,837,3635,0,0,0,0
59,0,4472,0.470398,0,4472,0,0,270,4202,0,0,0,0
60,0,4975,0.478317,0,4975,0,1006,80,3743,146,0,0,0
61,0,6279,0.486226,0,6279,0,3614,22,2196,447,0,0,0
62,0,7664,0.486302,0,7664,0,6384,7,830,443,0,0,0
63,0,8430,0.482288,0,8430,0,7916,1,269,244,0,0,0
64,0,8772,0.473285,0,8772,0,8600,0,80,92,0,0,0
65,0,8884,0.471839,0,8884,0,8824,0,22,38,0,0,0
66,0,8930,0.470603,0,8930,0,8916,0,7,7,0,0,0
67,0,8937,0.470601,0,8937,0,8930,0,1,6,0,0,0
68,0,8944,0.470601,0,8944,0,8441,503,0,0,0,0,0
69,0,8944,0.470602,0,8944,0,6634,2310,0,0,0,0,0
70,0,8944,0.470602,0,8944,0,3945,4999,0,0,0,0,0
71,0,8944,0.470602,0,8944,0,1794,7150,0,0,0,0,0
72,0,8944,0.470602,0,8944,0,686,8258,0,0,0,0,0
