parameter_name,fitted_value,unit,abm_csv_value
normoxic_CC/can_grow/probability,0.7116539329766137,,0.7116539329766137
normoxic_CC/can_grow/diameter_rate,0.580958927880314,,0.580958927880314
normoxic_CC/can_divide/probability,0.28393664339008684,,0.28393664339008684
normoxic_CC/can_divide/diameter_cutoff,10.815163057405462,,10.815163057405462
normoxic_CC/diameter/max,15.06771412748001,,15.06771412748001
normoxic_CC/phase_dwell/G1,1.4718278439769235,h,88.0
normoxic_CC/phase_dwell/Sy,1.4009330207565456,h,84.0
normoxic_CC/phase_dwell/G2,2.201214810959142,h,132.0
normoxic_CC/can_divide/time_window,12.88505306097233,h,773.0
normoxic_CC/can_divide/probability_increment_with_age,2.1460644718273114e-05,,2.1460644718273114e-05
normoxic_CC/can_divide/influence_ratio,3.8374667782571805,,3.8374667782571805
normoxic_CC/can_apoptose/probability,0.009131527400757443,,0.009131527400757443
normoxic_CC/can_apoptose/time_window,244.86345034184535,h,14692.0
