number,state,value,params,error
5,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.18960425587510335, 'normoxic_CC/can_grow/diameter_rate': 3.102983825640553, 'normoxic_CC/can_divide/probability': 0.4333504616170433, 'normoxic_CC/can_divide/diameter_cutoff': 19.424303004565232, 'normoxic_CC/can_divide/O2/threshold': 0.7799758081188035, 'normoxic_CC/diameter/max': 19.088889079239625}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00001/run.log
7,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.6766283058204149, 'normoxic_CC/can_grow/diameter_rate': 5.117015173208215, 'normoxic_CC/can_divide/probability': 0.36654824724249097, 'normoxic_CC/can_divide/diameter_cutoff': 16.7343542327875, 'normoxic_CC/can_divide/O2/threshold': 0.5030831653078097, 'normoxic_CC/diameter/max': 15.206526743860234}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00005/run.log
11,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.21660418461734768, 'normoxic_CC/can_grow/diameter_rate': 16.51114112264687, 'normoxic_CC/can_divide/probability': 0.4377193478501349, 'normoxic_CC/can_divide/diameter_cutoff': 20.91179150766967, 'normoxic_CC/can_divide/O2/threshold': 0.0598092227798519, 'normoxic_CC/diameter/max': 17.764306257207206}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00015/run.log
13,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.32637176116470584, 'normoxic_CC/can_grow/diameter_rate': 1.6072531742874256, 'normoxic_CC/can_divide/probability': 0.11077537439865978, 'normoxic_CC/can_divide/diameter_cutoff': 17.286324474621814, 'normoxic_CC/can_divide/O2/threshold': 0.5659446430505314, 'normoxic_CC/diameter/max': 15.101460929850042}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00019/run.log
15,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.2823984504242647, 'normoxic_CC/can_grow/diameter_rate': 3.1514670427331524, 'normoxic_CC/can_divide/probability': 0.4733128577139678, 'normoxic_CC/can_divide/diameter_cutoff': 12.34810214399078, 'normoxic_CC/can_divide/O2/threshold': 0.38231745203150647, 'normoxic_CC/diameter/max': 15.80810527719355}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00023/run.log
25,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.7193918769465193, 'normoxic_CC/can_grow/diameter_rate': 14.399805803081865, 'normoxic_CC/can_divide/probability': 0.771372162761631, 'normoxic_CC/can_divide/diameter_cutoff': 17.18985736725151, 'normoxic_CC/can_divide/O2/threshold': 0.29112524489787484, 'normoxic_CC/diameter/max': 17.270928966111484}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00051/run.log
27,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.8453595814543853, 'normoxic_CC/can_grow/diameter_rate': 0.48793107035910604, 'normoxic_CC/can_divide/probability': 0.17133655454664423, 'normoxic_CC/can_divide/diameter_cutoff': 11.608254471986115, 'normoxic_CC/can_divide/O2/threshold': 0.9946538286442945, 'normoxic_CC/diameter/max': 17.69246804204088}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00055/run.log
29,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.08392610496024824, 'normoxic_CC/can_grow/diameter_rate': 0.6288107179546977, 'normoxic_CC/can_divide/probability': 0.7211443896059753, 'normoxic_CC/can_divide/diameter_cutoff': 11.709224480101806, 'normoxic_CC/can_divide/O2/threshold': 0.5524689394975455, 'normoxic_CC/diameter/max': 19.095648895255284}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00059/run.log
54,TrialState.PRUNED,0.56337813962076,"{'normoxic_CC/can_grow/probability': 0.773939806045083, 'normoxic_CC/can_grow/diameter_rate': 8.714852333214235, 'normoxic_CC/can_divide/probability': 0.44360547045612325, 'normoxic_CC/can_divide/diameter_cutoff': 17.378223002516833, 'normoxic_CC/can_divide/O2/threshold': 0.7979204466637626, 'normoxic_CC/diameter/max': 29.138294725940455}",
62,TrialState.PRUNED,0.4702349519854901,"{'normoxic_CC/can_grow/probability': 0.48330818985081714, 'normoxic_CC/can_grow/diameter_rate': 7.260380034100054, 'normoxic_CC/can_divide/probability': 0.7805733835822894, 'normoxic_CC/can_divide/diameter_cutoff': 12.5483112924727, 'normoxic_CC/can_divide/O2/threshold': 0.4952992548106414, 'normoxic_CC/diameter/max': 20.9817872301081}",
