number,state,value,datetime_start,datetime_complete,normoxic_CC/can_grow/probability,normoxic_CC/can_grow/diameter_rate,normoxic_CC/can_divide/probability,normoxic_CC/can_divide/diameter_cutoff,normoxic_CC/diameter/max,normoxic_CC/phase_dwell/G1,normoxic_CC/phase_dwell/Sy,normoxic_CC/phase_dwell/G2,normoxic_CC/can_divide/time_window,normoxic_CC/can_divide/probability_increment_with_age,normoxic_CC/can_divide/influence_ratio,normoxic_CC/can_apoptose/probability,normoxic_CC/can_apoptose/time_window,attr_penalty,attr_score_curve
0,TrialState.COMPLETE,327.2969940689764,2026-06-10 14:50:27.321904,2026-06-10 14:51:11.543060,0.18960425587510335,3.102983825640553,0.4333504616170433,19.424303004565232,26.699637121782054,7.269629921500758,6.252820847718837,9.820593952885211,28.78604125682745,0.0004379663173710474,1.4312690798314667,0.0007131254595513274,1306.2414870429664,272.8776327761279,54.419361292848535
1,TrialState.COMPLETE,569.5512001932358,2026-06-10 14:51:11.564103,2026-06-10 14:51:38.733007,0.7055750067130712,0.772394367539079,0.5555842242049687,16.036997983693716,15.206526743860234,18.775012297084604,17.770182622086214,5.013745822915095,18.846489174571317,3.769062082148827e-05,1.475296024007898,0.02829158292470621,1140.0789230503453,442.7251598491803,126.82604034405549
2,TrialState.COMPLETE,355.26220976461553,2026-06-10 14:51:38.747856,2026-06-10 14:52:20.265728,0.39323055194889267,7.786236050221234,0.3136677609471825,16.81718383151283,28.036910843418386,11.031988749600625,16.240805199523024,2.5814350696602104,21.423568162431728,0.00035229065409478626,0.8751684226963543,0.026366811612862952,469.4566500008795,294.63335140667664,60.62885835793891
3,TrialState.COMPLETE,178.45305919470323,2026-06-10 14:52:20.277950,2026-06-10 14:53:13.903794,0.9002227993827477,0.13912940511491861,0.1824442129756755,10.568263345618181,25.123214153734953,14.676369938492323,11.132893096976261,1.4765646896428384,17.28155932183854,0.00016483422281045752,2.0118673324504734,2.593544621534654e-05,945.2859444342627,148.78526534852352,29.667793846179716
4,TrialState.COMPLETE,469.78105005383577,2026-06-10 14:53:13.921275,2026-06-10 14:53:45.427908,0.5602851966200261,0.10380536858972284,0.611267291716254,20.94547463719785,26.8578619958555,23.817873722332315,19.217233480904465,9.711605488208038,9.272277840710784,0.0003124583526529555,1.9123751826826982,5.294154564066751e-05,364.2693711593833,377.22106429054776,92.55998576328801
5,TrialState.COMPLETE,344.75960135214603,2026-06-10 14:53:45.442722,2026-06-10 14:54:25.517019,0.05333494829477422,1.2106700199298899,0.9721846941067349,11.487312405843555,16.790713468893728,17.986030291296977,12.158769035815707,6.187957877524045,4.106677698622123,0.00011460928273030896,3.5998607793467015,0.00034798364713040314,698.5170590276966,286.7784846619044,57.981116690241656
6,TrialState.COMPLETE,361.30415794611116,2026-06-10 14:54:25.531756,2026-06-10 14:55:03.135988,0.006146431421258104,0.5259213173062599,0.43252424045385407,17.34578796478909,28.772971130708598,15.391943409138312,14.413953736553692,2.6481708758891997,22.635838864964782,0.0004155034962167689,2.5349030758039164,0.00041811437864683755,137.50428778818738,298.94723002349775,62.356927922613394
7,TrialState.COMPLETE,258.1758663940097,2026-06-10 14:55:03.149736,2026-06-10 14:55:48.401810,0.5627255190947182,1.8477794328132437,0.9419144761160573,15.764310142120193,22.538393450738255,13.348198437261424,16.564839274219008,1.6282720189774587,20.413230549161916,0.00038355831418973623,2.8324614479104153,0.008863144095319483,766.5240022311401,216.73329667596337,41.442569718046336
8,TrialState.COMPLETE,569.5512001932358,2026-06-10 14:55:48.416862,2026-06-10 14:56:16.480195,0.9561781666722063,0.22535822731911045,0.029350530530061425,17.126721911497263,16.710985481139936,22.86862655193481,7.188440874081597,3.1298055916915493,14.276537818025398,0.0004602012855465439,3.516276646058703,8.598409023920156e-05,314.9477734826673,442.7251598491803,126.82604034405549
9,TrialState.COMPLETE,298.42714196200234,2026-06-10 14:56:16.496029,2026-06-10 14:56:58.390499,0.18076284426450567,14.536264985548005,0.6994628815400795,18.719901538745688,28.501317552145615,18.920767417694456,12.383940831481555,4.202377693876623,5.390462667815531,0.00016758732957471745,2.6302071086312777,1.867634418605607e-05,90.91474760393997,249.7212752821337,48.70586667986868
10,TrialState.COMPLETE,382.0918095235749,2026-06-10 14:56:58.405313,2026-06-10 14:57:39.541514,0.31996286578196464,2.605793181334969,0.8453595814543853,13.444749100000108,17.596008402221884,4.082487737973385,19.898422744241596,2.97447656416331,10.20885786778868,0.0002841457023295536,0.03739429800097804,0.02145221960206887,4540.011677253606,315.2250176946495,66.86679182892539
11,TrialState.COMPLETE,569.5512001932358,2026-06-10 14:57:39.557146,2026-06-10 14:58:07.112288,0.5513257323454666,0.15969179066084846,0.3296724410718091,18.741144116436065,17.13653060012726,13.706785608443546,6.187821933990026,11.719446518959858,20.365820278206094,0.00012782664321706982,0.43324597673091514,0.007431375613561692,1987.802885613148,442.7251598491803,126.82604034405549
12,TrialState.COMPLETE,344.75960135214603,2026-06-10 14:58:07.127367,2026-06-10 14:58:43.210334,0.7539878751644191,15.58417474739365,0.6520365541229984,16.820410978875188,18.026335386794674,17.060816637690507,19.09171278649407,10.789596158562055,29.813453523032038,0.00040935175510196275,2.1804886647188795,0.0004668476893798675,3143.5184716558365,286.7784846619044,57.981116690241656
13,TrialState.COMPLETE,312.35532945263213,2026-06-10 14:58:43.225118,2026-06-10 14:59:32.861605,0.9635321432074823,2.648285293312572,0.36241375274326615,13.877136315594994,28.071348825730468,5.959583448733104,14.96395858268173,5.021809961039041,24.246475356580046,0.00039136779598768814,2.805421516946772,0.0020120182387914996,584.1400370081335,261.0809733756474,51.27435607698477
14,TrialState.COMPLETE,263.5361512818283,2026-06-10 14:59:32.875215,2026-06-10 15:00:14.055731,0.8321323231173038,5.099949257356108,0.4394698916016939,10.372418333599992,20.44859640290397,17.806601202437793,10.03576488858919,4.7885866713420295,19.585532614884546,6.310266080719972e-05,0.685861043856999,0.005326731800855801,123.3884737417656,221.01305245163476,42.52309883019359
15,TrialState.COMPLETE,386.7956033072726,2026-06-10 15:00:14.069182,2026-06-10 15:00:51.237192,0.36595337619716056,2.8129155171331033,0.10207339446709077,19.62849018804652,29.183298537631863,23.517892858480565,17.743412680439615,7.904501136103727,27.984109468677303,0.00036239497655121943,2.866711544221425,1.4188888816748605e-05,464.1930326887549,315.1633321785018,71.63227112877081
16,TrialState.COMPLETE,265.3561644650038,2026-06-10 15:00:51.252689,2026-06-10 15:01:29.395568,0.27924908528492687,0.6357703008159524,0.0826917369739563,19.13018976468863,22.63908670745931,16.2040906049944,12.975974407201349,5.0801951020328024,13.955464400194495,0.0002075541100987966,1.9215540320536264,0.043379486073092104,350.78709045612595,221.64601132786103,43.71015313714279
